	ERR2585962	ERR2585963	ERR2585964	ERR2585965	ERR2585966	ERR2585967	ERR2585968	ERR2585969	ERR2585970	ERR2585971	ERR2585972	ERR2585973	ERR2585974	ERR2585976	ERR2585977	ERR2585978	ERR2585979	ERR2585980	ERR2585981	ERR2585982	ERR2585983	ERR2585984	ERR2585985	ERR2585986	ERR2585987	ERR2585988	ERR2585989
ERR2585962	0.0	0.8591	0.7268	0.7384	0.9893	0.771	0.7984	0.7848	0.6239	0.7019	0.7968	0.6612	0.7466	0.7373	0.742	0.7453	0.7626	0.6259	0.7541	0.7745	0.8556	0.8272	0.8282	0.7441	0.9216	0.7053	0.6264
ERR2585963	0.8591	0.0	0.8528	0.8326	0.9921	0.8075	0.9048	0.8767	0.838	0.7766	0.799	0.7259	0.7714	0.7576	0.7141	0.8155	0.8453	0.7927	0.8794	0.8502	0.7463	0.8014	0.8964	0.72	0.848	0.768	0.7833
ERR2585964	0.7268	0.8528	0.0	0.7707	0.9877	0.7458	0.8164	0.8223	0.7603	0.7001	0.7842	0.6813	0.7739	0.7638	0.7627	0.7724	0.7278	0.7111	0.7222	0.7569	0.87	0.8247	0.8831	0.6954	0.8885	0.752	0.6384
ERR2585965	0.7384	0.8326	0.7707	0.0	0.9901	0.6974	0.8384	0.7288	0.7427	0.7606	0.8707	0.6784	0.744	0.757	0.7934	0.7323	0.7941	0.7828	0.7843	0.7493	0.8704	0.7287	0.8479	0.7282	0.925	0.7671	0.6185
ERR2585966	0.9893	0.9921	0.9877	0.9901	0.0	0.9911	0.9867	0.9611	0.9849	0.9845	0.9503	0.9871	0.9828	0.9847	0.9938	0.9853	0.9709	0.9602	0.9912	0.9877	0.9936	0.9929	0.9856	0.9937	0.9928	0.9917	0.9795
ERR2585967	0.771	0.8075	0.7458	0.6974	0.9911	0.0	0.8371	0.7735	0.7676	0.7573	0.8208	0.6846	0.7388	0.6786	0.7429	0.7399	0.818	0.7858	0.7987	0.7687	0.8592	0.7439	0.8668	0.6698	0.8863	0.7483	0.596
ERR2585968	0.7984	0.9048	0.8164	0.8384	0.9867	0.8371	0.0	0.78	0.8408	0.7941	0.8641	0.8295	0.788	0.8503	0.8383	0.8	0.8788	0.8506	0.7639	0.7552	0.9536	0.8538	0.8789	0.8517	0.9603	0.7954	0.7862
ERR2585969	0.7848	0.8767	0.8223	0.7288	0.9611	0.7735	0.78	0.0	0.7679	0.8336	0.8758	0.8051	0.7714	0.8057	0.8176	0.7029	0.8464	0.7752	0.798	0.7474	0.9139	0.8062	0.7837	0.7383	0.9649	0.7348	0.7116
ERR2585970	0.6239	0.838	0.7603	0.7427	0.9849	0.7676	0.8408	0.7679	0.0	0.6635	0.7765	0.6331	0.7331	0.7752	0.6243	0.738	0.7501	0.656	0.7222	0.7403	0.8597	0.7722	0.8524	0.7459	0.9104	0.7275	0.657
ERR2585971	0.7019	0.7766	0.7001	0.7606	0.9845	0.7573	0.7941	0.8336	0.6635	0.0	0.7096	0.5703	0.8028	0.7357	0.7162	0.7733	0.6714	0.6527	0.7123	0.7667	0.8282	0.812	0.9242	0.7131	0.8457	0.7425	0.6103
