	SRR13994159	SRR13994160	SRR13994161	SRR13994162	SRR13994163	SRR13994164	SRR13994165	SRR13994166	SRR13994167	SRR13994168	SRR13994169	SRR13994170	SRR13994171	SRR13994172	SRR13994173	SRR13994174	SRR13994175	SRR13994176	SRR13994177	SRR13994178	SRR13994179	SRR13994180	SRR13994181	SRR13994182	SRR13994183	SRR13994184	SRR13994185	SRR13994186	SRR13994187	SRR13994188	SRR13994189	SRR13994190	SRR13994191	SRR13994192	SRR13994193	SRR13994194	SRR13994195	SRR13994196	SRR13994197	SRR13994198	SRR13994199	SRR13994200	SRR13994201	SRR13994202	SRR13994203	SRR13994204	SRR13994205	SRR13994206	SRR13994207	SRR13994208	SRR13994209	SRR13994210	SRR13994211
SRR13994159	0.0	0.6616	0.8219	0.813	0.6405	0.7798	0.8783	0.6668	0.9434	0.7243	0.723	0.6957	0.6337	0.8652	0.6455	0.7953	0.8138	0.7349	0.8212	0.7364	0.8303	0.6915	0.7936	0.7155	0.8313	0.8501	0.6944	0.6736	0.7513	0.6248	0.7964	0.7591	0.6633	0.8076	0.8938	0.8418	0.8758	0.75	0.781	0.6928	0.7559	0.804	0.7899	0.7485	0.6112	0.7316	0.6465	0.7255	0.7241	0.7893	0.7857	0.8039	0.7316
SRR13994160	0.6616	0.0	0.799	0.8084	0.815	0.754	0.8972	0.7678	0.914	0.7095	0.8098	0.7655	0.5621	0.8605	0.8403	0.8406	0.8322	0.7368	0.7573	0.7742	0.8378	0.7385	0.7813	0.8427	0.786	0.7731	0.8215	0.8596	0.7776	0.6762	0.7947	0.7657	0.7142	0.8092	0.8982	0.8665	0.839	0.6919	0.7398	0.7018	0.6917	0.7641	0.9059	0.7217	0.7596	0.7083	0.5342	0.7884	0.742	0.7944	0.8089	0.7907	0.7553
SRR13994161	0.8219	0.799	0.0	0.7844	0.8914	0.7254	0.9412	0.9202	0.9703	0.7762	0.9191	0.8666	0.7817	0.8214	0.9063	0.9005	0.7578	0.7745	0.9082	0.8728	0.9178	0.7684	0.8112	0.9324	0.7553	0.9126	0.919	0.752	0.8841	0.7892	0.7666	0.7479	0.7598	0.876	0.9017	0.8948	0.9159	0.8525	0.9132	0.7781	0.8371	0.6615	0.9238	0.5802	0.9032	0.7312	0.7439	0.8736	0.823	0.74	0.6818	0.726	0.8378
SRR13994162	0.813	0.8084	0.7844	0.0	0.8042	0.7225	0.879	0.8692	0.7694	0.7064	0.8595	0.7627	0.8203	0.7422	0.8818	0.6951	0.7827	0.7123	0.8061	0.7905	0.828	0.7301	0.5757	0.8989	0.5931	0.8803	0.8386	0.8329	0.8394	0.7507	0.7543	0.7438	0.7185	0.7881	0.6947	0.8294	0.744	0.8399	0.8615	0.7356	0.8076	0.8146	0.7175	0.8036	0.8912	0.7706	0.742	0.8229	0.6519	0.7695	0.765	0.7937	0.8332
SRR13994163	0.6405	0.815	0.8914	0.8042	0.0	0.8533	0.8835	0.7724	0.9476	0.7981	0.8294	0.7693	0.7606	0.9196	0.6556	0.8498	0.9163	0.8728	0.8308	0.7006	0.8405	0.8377	0.7844	0.7304	0.8045	0.838	0.8541	0.6607	0.8182	0.816	0.8634	0.8745	0.7903	0.7306	0.9028	0.8604	0.9072	0.8057	0.8177	0.832	0.7779	0.8289	0.8105	0.8742	0.7011	0.8774	0.7867	0.829	0.8432	0.8509	0.8893	0.8795	0.8739
SRR13994164	0.7798	0.754	0.7254	0.7225	0.8533	0.0	0.9328	0.8573	0.9499	0.6797	0.9092	0.8367	0.7617	0.7785	0.8863	0.868	0.7748	0.7292	0.886	0.8452	0.8783	0.7371	0.7232	0.9056	0.6738	0.8405	0.8028	0.7276	0.8506	0.6536	0.7148	0.6688	0.6091	0.7865	0.8383	0.8604	0.8998	0.7915	0.8684	0.6412	0.8415	0.7397	0.8918	0.6877	0.8895	0.7005	0.6599	0.8308	0.8025	0.719	0.6962	0.7132	0.8168
SRR13994165	0.8783	0.8972	0.9412	0.879	0.8835	0.9328	0.0	0.9288	0.9383	0.9027	0.873	0.8629	0.9061	0.9139	0.9324	0.9201	0.9478	0.8902	0.8727	0.8769	0.5979	0.9128	0.8717	0.9097	0.9126	0.9088	0.9117	0.9258	0.8571	0.9032	0.8319	0.9415	0.8812	0.8889	0.8527	0.9147	0.9447	0.852	0.6721	0.9027	0.8694	0.9326	0.9065	0.9348	0.9006	0.8788	0.8634	0.6943	0.9119	0.9327	0.9372	0.9095	0.8402
SRR13994166	0.6668	0.7678	0.9202	0.8692	0.7724	0.8573	0.9288	0.0	0.9266	0.7537	0.7482	0.7616	0.7541	0.8697	0.6065	0.8062	0.9176	0.8766	0.7698	0.7323	0.8044	0.7934	0.8684	0.7167	0.8352	0.7182	0.6154	0.8226	0.6524	0.7462	0.8599	0.8752	0.6877	0.7704	0.8586	0.8199	0.863	0.7455	0.6434	0.7512	0.7115	0.8409	0.8219	0.8824	0.62	0.8918	0.7944	0.662	0.7949	0.8891	0.9127	0.7785	0.6524
SRR13994167	0.9434	0.914	0.9703	0.7694	0.9476	0.9499	0.9383	0.9266	0.0	0.8856	0.9106	0.8688	0.9516	0.7171	0.9378	0.5743	0.9694	0.9671	0.7954	0.9342	0.9496	0.9035	0.779	0.8496	0.8527	0.8727	0.8658	0.9169	0.9551	0.914	0.9783	0.9737	0.9403	0.9179	0.4793	0.9176	0.5917	0.9179	0.9154	0.9615	0.9225	0.9142	0.5209	0.9713	0.8571	0.9632	0.9265	0.9356	0.5547	0.9603	0.9711	0.9636	0.9615
SRR13994168	0.7243	0.7095	0.7762	0.7064	0.7981	0.6797	0.9027	0.7537	0.8856	0.0	0.8359	0.7431	0.6951	0.7427	0.7995	0.7827	0.7856	0.7816	0.787	0.8224	0.8312	0.7343	0.7215	0.8209	0.6146	0.783	0.7671	0.758	0.7694	0.6768	0.7192	0.7466	0.6206	0.7922	0.789	0.773	0.8093	0.7107	0.7945	0.6907	0.7773	0.7318	0.8025	0.7372	0.8117	0.7368	0.6401	0.7709	0.6959	0.8163	0.8098	0.7249	0.7208
