id	group	study_id	disease_group	shannon_entropy
#q2:types	categorical	categorical	categorical	numeric
ERR1331785	cfs	cfs_giloteaux2016	SFC	2.82642885506717
ERR1331792	cfs	cfs_giloteaux2016	SFC	2.91329325171436
ERR1331808	cfs	cfs_giloteaux2016	SFC	2.87016235817363
ERR1331819	cfs	cfs_giloteaux2016	SFC	4.51119478800584
ERR1331820	cfs	cfs_giloteaux2016	SFC	3.46621500097891
ERR1331821	cfs	cfs_giloteaux2016	SFC	4.49143428588782
ERR1331822	cfs	cfs_giloteaux2016	SFC	4.79639201482115
ERR1331823	cfs	cfs_giloteaux2016	SFC	2.49465207869808
ERR1331824	cfs	cfs_giloteaux2016	SFC	2.92289592869359
ERR1331825	cfs	cfs_giloteaux2016	SFC	4.02461942254361
ERR1331826	cfs	cfs_giloteaux2016	SFC	3.90385496969926
ERR1331827	cfs	cfs_giloteaux2016	SFC	2.40864394617929
ERR1331828	cfs	cfs_giloteaux2016	SFC	3.00362742463867
ERR1331831	cfs	cfs_giloteaux2016	SFC	4.02339542784993
ERR1331834	cfs	cfs_giloteaux2016	SFC	4.83498146489338
ERR1331835	cfs	cfs_giloteaux2016	SFC	4.7319987245045
ERR1331836	cfs	cfs_giloteaux2016	SFC	4.01616274927297
ERR1331837	cfs	cfs_giloteaux2016	SFC	4.40829273093998
ERR1331840	cfs	cfs_giloteaux2016	SFC	4.38948876218212
ERR1331841	cfs	cfs_giloteaux2016	SFC	4.64718962104006
ERR1331850	cfs	cfs_giloteaux2016	SFC	3.52399394063054
ERR1331854	cfs	cfs_giloteaux2016	SFC	3.0523066275126
ERR1331855	cfs	cfs_giloteaux2016	SFC	4.74951453740407
ERR1331858	cfs	cfs_giloteaux2016	SFC	3.52932590614704
ERR1331860	cfs	cfs_giloteaux2016	SFC	4.09235980817916
ERR1331862	cfs	cfs_giloteaux2016	SFC	4.07687693736751
ERR1331863	cfs	cfs_giloteaux2016	SFC	4.27591318098934
ERR1331864	cfs	cfs_giloteaux2016	SFC	2.43917987496889
ERR1331865	cfs	cfs_giloteaux2016	SFC	2.7777206137328
ERR1331867	cfs	cfs_giloteaux2016	SFC	2.87987179740458
ERR1331872	cfs	cfs_giloteaux2016	SFC	4.69867953433555
ERR1331786	controle	cfs_giloteaux2016	SFC	2.02689520819801
ERR1331787	controle	cfs_giloteaux2016	SFC	2.73466384014992
