	SRR9198470	SRR9198472	SRR9198474	SRR9198475	SRR9198476	SRR9198477	SRR9198480	SRR9198483	SRR9198500	SRR9198501	SRR9198502	SRR9198504	SRR9198505	SRR9198506	SRR9198507
SRR9198470	0.0	1.0	0.9998	0.9998	1.0	0.0136	1.0	1.0	0.9998	1.0	1.0	0.999	1.0	1.0	1.0
SRR9198472	1.0	0.0	0.9696	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9198474	0.9998	0.9696	0.0	0.7969	1.0	1.0	1.0	1.0	0.9782	0.9995	0.661	0.5314	1.0	0.9339	0.9942
SRR9198475	0.9998	1.0	0.7969	0.0	1.0	0.9997	1.0	1.0	0.9774	1.0	0.8228	0.8197	0.9987	0.9219	0.9923
SRR9198476	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9997	0.8813	1.0
SRR9198477	0.0136	1.0	1.0	0.9997	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9198480	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.9999	1.0	1.0
SRR9198483	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SRR9198500	0.9998	1.0	0.9782	0.9774	1.0	1.0	1.0	1.0	0.0	0.0325	0.9622	0.9775	0.9994	0.9512	1.0
SRR9198501	1.0	1.0	0.9995	1.0	1.0	1.0	1.0	1.0	0.0325	0.0	0.984	1.0	1.0	0.973	1.0
SRR9198502	1.0	1.0	0.661	0.8228	1.0	1.0	1.0	1.0	0.9622	0.984	0.0	0.661	1.0	0.9179	1.0
SRR9198504	0.999	1.0	0.5314	0.8197	1.0	1.0	1.0	1.0	0.9775	1.0	0.661	0.0	1.0	0.9339	1.0
SRR9198505	1.0	1.0	1.0	0.9987	0.9997	1.0	0.9999	1.0	0.9994	1.0	1.0	1.0	0.0	0.9912	0.9982
SRR9198506	1.0	1.0	0.9339	0.9219	0.8813	1.0	1.0	1.0	0.9512	0.973	0.9179	0.9339	0.9912	0.0	0.9865
SRR9198507	1.0	1.0	0.9942	0.9923	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9982	0.9865	0.0
