sample_id,group,Acetatifactor sp.,Acutalibacteraceae bacterium,Agathobacter,Agathobacter rectalis,Agathobacter rectalis ATCC 33656,Agathobacter sp.,Akkermansia,Akkermansia muciniphila,Akkermansia sp.,Alistipes,Alistipes communis,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes putredinis DSM 17216,Alistipes shahii,Alistipes sp.,Alistipes sp. HGB5,Anaerobutyricum hallii,Anaerostipes,Anaerostipes hadrus,Anaerostipes sp.,Bacilli bacterium,Bacillota,Bacillota bacterium,Bacteria,Bacteriophage sp.,Bacteroidaceae,Bacteroidaceae bacterium,Bacteroidales,Bacteroidales bacterium,Bacteroides,Bacteroides acidifaciens,Bacteroides caccae,Bacteroides caccae ATCC 43185,Bacteroides caecimuris,Bacteroides cellulosilyticus,Bacteroides clarus,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides finegoldii DSM 17565,Bacteroides fragilis,Bacteroides fragilis str. 3397 T10,Bacteroides intestinalis,Bacteroides nordii,Bacteroides ovatus,Bacteroides ovatus ATCC 8483,Bacteroides ovatus SD CMC 3f,Bacteroides salyersiae,Bacteroides sp.,Bacteroides sp. 2_2_4,Bacteroides sp. 3_1_23,Bacteroides sp. 3_1_33FAA,Bacteroides sp. 3_1_40A,Bacteroides sp. 4_1_36,Bacteroides sp. 4_3_47FAA,Bacteroides sp. 9_1_42FAA,Bacteroides sp. D1,Bacteroides sp. D20,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroides uniformis,Bacteroides uniformis ATCC 8492,Bacteroides uniformis CAG:3,Bacteroides uniformis CL03T00C23,Bacteroides uniformis dnLKV2,Bacteroides uniformis str. 3978 T3 i,Bacteroides uniformis str. 3978 T3 ii,Bacteroides xylanisolvens,Bacteroides xylanisolvens SD CC 2a,Bacteroidota,Barnesiella intestinihominis,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Blautia,Blautia faecis,Blautia massiliensis (ex Durand et al. 2017),Blautia obeum,Blautia sp.,Blautia wexlerae,Brotolimicola acetigignens,Campylobacter jejuni,Catenibacterium mitsuokai,Caudoviricetes sp.,Christensenellales bacterium,Clostridia,Clostridia bacterium,Clostridiaceae bacterium,Clostridiales bacterium,Clostridioides difficile,Clostridium sp.,Clostridium sp. AM34-9AC,Collinsella sp.,Coprococcus comes,Coprococcus eutactus,Dialister invisus,Dorea formicigenerans,Dorea longicatena,Dysosmobacter sp.,Dysosmobacter welbionis,Enterocloster bolteae,Enterococcus faecium,Escherichia albertii B156,Eubacteriaceae bacterium CHKCI005,Eubacteriaceae bacterium Marseille-Q4139,Eubacterium ramulus ATCC 29099,Faecalibacillus sp. H12,Faecalibacillus sp. MSK20_93,Faecalibacterium,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii M21/2,Faecalibacterium sp. Marseille-Q4137,Flavobacterium tibetense,Fusibacter tunisiensis,Fusicatenibacter faecihominis,Gelidibacter sp.,Gemella sanguinis,Gemmiger formicilis,Gemmiger gallinarum,Hungatella,Intestinimonas,Lachnoclostridium sp. YL32,Lachnospira hominis,Lachnospira pectinoschiza,Lachnospira sp.,Lacrimispora defluvii,Mediterraneibacter butyricigenes,Mediterraneibacter faecis,Oceanirhabdus seepicola,Odoribacter laneus,Odoribacter sp. N54.MGS-14,Oscillibacter hominis,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20,Pantoea sp.,Parabacteroides chinchillae,Parabacteroides faecalis,Parabacteroides gordonii MS-1 = DSM 23371,Parabacteroides leei,Parabacteroides massiliensis,Parabacteroides provencensis,Parabacteroides segnis,Parabacteroides sp. CH2-D42-20,Paramuribaculum sp.,Phascolarctobacterium succinatutens CAG:287,Phocaeicola,Phocaeicola coprocola,Phocaeicola coprophilus CAG:333,Phocaeicola dorei CL02T12C06,Phocaeicola fibrisolvens,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Phocaeicola salanitronis,Phocaeicola salanitronis DSM 18170,Phocaeicola sp.,Phocaeicola sp. KGMB11183,Phocaeicola vulgatus,Phocaeicola vulgatus CAG:6,Phocaeicola vulgatus CL09T03C04,Phocaeicola vulgatus PC510,Phocaeicola vulgatus dnLKV7,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),Prevotella pectinovora,Romboutsia sp.,Roseburia amylophila,Roseburia difficilis,Roseburia hominis,Roseburia intestinalis,Roseburia intestinalis M50/1,Roseburia inulinivorans,Roseburia porci,Ruminococcaceae bacterium OttesenSCG-928-L11,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus hominis,Ruminococcus turbiniformis,Segatella,Streptomyces sp. DSM 41524,Subdoligranulum sp. AF14-43,Tannockella kyphosi
SRR6784522,cfs,1446,53843,29436,56599,6503,8286,89,4394,558,706817,27197,147552,24811,105699,16860,114893,194474,11459,13391,6492,18032,2728,2910,32584,104029,460048,109120,715597,5777,1192412,9827,1540033,48279,34489,1088,6743,14016,2753,5022,23307,33399,18231,491365,2871,14492,106410,116950,5091,4440,7399,169788,15589,2133,6717,66702,10924,58152,8107,7095,12081,314030,798171,26181,411308,46587,3190,4324,8795,5697,7984,52538,2223,26817,5245,6446,2787,35973,1271,6419,3199,12841,30238,3322,4813,8801,139532,8886,64344,750355,28725,41752,7596,20054,871,2045,11722,1562,1575,1480,12035,4018,5217,6556,3600,58572,27507,2898,175204,12308,1152,3050,24796,655,14080,486,19235,14855,2038,1463,4702,1906,9664,1577,7184,34116,4050,27189,21041,1146,2005,2865,59051,8844,132715,25903,28770,492027,1561606,195673,10074,63959,1073784,127211,192386,5074,12762,5504,2767424,24307,6333,378745,49229,19031,389365,21088,116984,2240459,92933,10541,133139,18118,16383,37170,32653,96493,5179,6900,6117,3561,1159,8725,923,4088,62592,93966,45062,5202,522427,1802,4951,4884
SRR6784544,cfs,17107,5991,9105,60882,5136,13258,26640,39388,6199,1192612,179849,64190,192077,311536,49308,203123,346657,6387,16756,7520,25671,3302,10087,198644,596420,284490,75220,503618,4600,2115636,20774,4741253,38589,201734,28124,12350,2825666,7937,1883469,225174,15717,8319,199257,5339,223236,8519,186590,42336,9088,423516,220741,6137,8496,47863,10329,14044,7172,86089,2361,28635,26182,175690,8210,410218,68946,4149,6082,7267,7109,12091,73413,6034,78931,377566,7185,6178,23648,8519,5603,14594,21317,40545,32780,3613,11543,213287,424817,344560,182547,21123,1218101,104814,230304,10615,4995,40145,11628,9645,11043,18655,14671,10825,8255,27268,119344,93941,22138,110977,12400,2062,3730,61475,1379,40928,1119,90207,38579,6237,16523,65736,2587,18724,11786,26791,550322,60657,140823,90836,12201,20841,13389,61304,8727,161475,331524,68521,1903335,1975959,378790,6506,2152894,130542,33426,76604,21164,33728,6835,856061,28832,17909,4280736,306152,19347,12147,7766,69551,442800,14659,2654,19834,1832,2332,4615,3575,41811,33364,59514,7465,13542,3140,5531,2642,11642,5357,30773,62231,47989,8983,61124,24977,51961
SRR6784404,cfs,180671,10999,946841,1522086,181357,227822,118695,93975,21623,23901,7017,8578,19263,13445,4229,9946,14120,3665,27160,56468,212991,34030,64832,305628,112608,315847,125434,514606,3333,1772961,13169,8615030,41468,53837,7846,25134,21326,2839,15979,11629,48492,24494,120225,38886,21093,2540,2434925,623702,198364,9508,485895,103811,161228,2503,7363,4062,3775,3244,27667,1455,28055,152523,4879,106882,6253,336,878,2460,329,812,504897,69328,55168,3904,9997,2492,512702,31039,121862,38969,271938,97589,370122,1661,4455,637693,14110,2282972,172216,18842,475851,72416,375581,118122,14718,72879,11944,137676,21346,77954,40446,36940,24396,7626,266331,81544,401923,1397987,637009,49850,87473,1679312,126939,659035,19389,56952,414998,89716,36820,151415,12749,209992,27904,44037,983803,94340,650410,449654,111323,10026,20167,2332,627,12672,193550,337548,762271,21024,77290,10059,8066,56780,2152,17267,948,6573,5217,67351,229,37264,156110,14751,4001,9970,10639,12429,166128,1329,184,2158,684,1699,4043,524,3065934,89596,136424,790941,30335,12607,93822,12010,131100,595093,22107,677053,18805,19086581,24701,48289,47690
SRR6784532,cfs,99460,2290,545726,917328,100916,158595,487,1524,1028,5156,907,1130,3447,18371,880,1526,3769,581,11168,8207,24208,4193,364,163290,144334,325061,618544,243684,2972,699782,9659,668820,6262,19293,727,3286,9581,3920,6226,8429,6760,3291,225212,2422,6312,1574,47215,2005,1395,6867,59085,8609,477,34928,6264,1558,4395,34259,2408,449,69535,716280,19757,45204,3070,57,881,114,2432,1942,50608,5862,20019,2984,5411,3035,26415,6290,6824,9429,18005,29852,193810,3274,1814,1146940,3747,505611,41536,57689,119850,37234,144238,61190,4000,23531,6242,164131,10277,20787,21347,8905,10378,3643,45828,88695,16360,129243,394118,81498,11159,824603,10210,309808,47236,40660,43424,8560,258690,486673,7554,189671,11822,23302,944986,64339,209960,327113,55668,1872,10412,72,594,1398,19808,71417,149076,1903254,395994,2363,2693,26180,7680,59613,14645,31574,3921,565671,2313,3629,2855555,206906,4878,8780,4132,48683,271469,7324,1426,12927,1179,1659,3949,1847,12594,269611,81414,16552,561258,53571,858495,91492,333075,124326,126044,76459,10711,11784,66969,154454,35852
SRR6784552,cfs,46212,10655,46900,173093,10515,21779,142,1603,1605,10685,2243,14357,6909,9802,1323,7808,5617,2296,13033,11545,31868,5435,759,89639,59179,616749,322515,1193024,15001,1826074,19274,5205437,25763,38368,3517,19171,3881719,7351,20557,19582,23002,15658,115149,18658,136100,9818,1002378,154822,85167,19412,408375,59077,75013,11178,115644,674,81740,11596,37108,698,40253,734391,21771,143590,4671,293,655,312,1521,329,289586,25657,15153,4230,12657,2262,56353,4331,5638,7714,24048,37713,92888,3770,1691,209269,9550,407564,28675,193764,186570,48782,191742,27542,4717,16854,5163,111961,5994,12214,11496,7168,13866,6329,105541,43980,55247,121319,188509,21806,8549,604558,6833,252962,9920,25273,67422,13957,331,11019,4240,4542,7741,20755,1103401,52201,150113,148318,25618,2378,7535,940,261,13199,106003,60299,354287,22266,92082,16857,6062,30429,9753,10123,2957,11341,3565,4059656,13873,6744,645924,79832,58868,4003,31272,170301,4159283,137899,26363,199179,30432,25731,59009,55712,31146,72312,51851,135269,268434,24889,102896,14048,67442,5251,21329,26728,18495,55632,3079,3412,22480
SRR6784412,cfs,78510,2210,4239,39170,2877,4510,137623,38101,8652,260382,2200,132358,15345,14140,1437,140199,109523,15065,4693,3533,11144,3388,505,78322,96733,513148,55820,547602,4290,2128674,8913,4002599,14317,71538,4549,10370,46338,28031,24714,8595,38890,15256,172566,5729,16111,3797,255333,38202,10679,20052,218779,12727,10576,4941,23807,48797,17735,2949,7209,52809,2187951,185311,3530,1265939,205950,16214,29443,31531,13264,27505,72209,4365,21809,9815,10567,8386,33409,4383,1436,5926,8017,30471,172743,4212,51095,159469,3943,294746,10434,10897,62643,30599,111964,63934,1564,24414,2172,5890,4506,6052,22203,24623,7805,1877,65765,74607,2426,11313,47298,7953,8536,70639,1362,49114,4258,94639,9502,868,467,8802,2201,2627,5197,90689,7848,3999,69796,443467,47491,1005,6107,709,493,18366,27033,117020,77680,271120,49909,5181,68470,384444,33566,43910,991,2323,4854,825986,4024,19447,161616,34336,8230,17647,13504,39407,762345,24344,3080,35605,6161,4449,10547,9852,18355,7973,10980,88176,50098,6980,15100,5318,11103,180684,34253,133288,12349,27728,1148,2466,24136
SRR6784533,cfs,71119,2692,897344,1157977,139943,188872,203774,75908,15554,554299,15367,105246,21191,401442,55879,74422,172969,10058,12843,1689,10066,1803,3873,147549,269107,233115,607171,364953,41583,2028908,349658,4540720,110700,241505,30302,10373,2531129,729598,28484,9022,15407,7599,139236,3519,111167,6324,100345,10449,3435,243099,423285,4367,5764,34584,7233,63942,4249,20810,5248,63731,57594,278968,7883,1208632,268307,21194,16773,27135,24188,40655,55541,3166,50502,8351,8776,8627,80681,5824,4779,14165,15394,80074,134383,4053,39420,307661,8019,396738,16477,24383,369199,45150,131184,45578,5271,60191,5432,6075,9053,28973,24891,14043,17818,3548,51114,89911,12832,65202,184920,7414,12919,588979,7114,189648,1946,37898,35689,6050,10309,18887,24349,39607,12172,25133,13496,3910,175303,208421,39504,6133,13248,49911,8225,132744,47034,58483,264994,1835635,295764,6301,473339,241810,28283,87909,8165,28125,672463,384007,3521,42136,1735161,120099,21792,8012,15822,45570,308553,7381,1120,10068,2079,1233,3568,2245,84932,11458,23904,28122,22820,10164,18285,3832,9123,3118,10768,20686,75605,24500,17588,10681,23948
SRR6784555,cfs,13249,1178275,5393,51497,2546,10480,818503,485373,155614,2572881,31555,7673,8852,2267544,301521,29762,475855,331,4580,91240,212768,29844,5930,152943,478935,226652,33690,466044,620,1353141,44782,5013045,8028,29058,655,3128,28593,366,12946,8149,11200,3046,16214770,44435,8577,2050,72469,1699,5564,8971,33439,2657,6602,595,1314,3465,9337,3025,211,1726,13032,68427,6223,96752,8788,356,2383,1811,499,1121,34556,8119,57033,7101,3908,9096,47261,8282,13746,6908,17804,27804,27779,3292,1978,203982,9959,229622,349302,66155,1168528,35537,196675,8487,1242,17611,4538,64229,3504,5844,43454,80332,19870,6097,624936,57594,530747,35871,64997,22613,4803,110503,1905,90867,12408,68298,24048,1967,694,9594,1558,7787,23293,10641,185592,14623,77387,652161,8303,2314,28143,967,271,7181,76260,285768,250215,7712,46911,2413,17222,13147,3803,1293,1472,1818,6095,81068,381,6598,53044,3608,5551,2572,991,6026,146431,2612,246,2821,3133,2624,5327,903,9849,39567,48325,14451,52440,7006,47011,6605,49527,30168,22903,59362,18402,33659,2736,2083,22680
SRR6784405,cfs,126593,711226,1507230,2446419,292083,346733,9027,33961,43268,3364847,41354,1098454,207023,965054,156672,616049,842244,104541,75595,14241,52539,7735,131739,552083,1020262,1760465,3829605,2265981,26006,7416005,167719,14178900,115796,791452,116475,50325,92392,18026,1653364,38123,71067,39643,584764,34525,69255,19217,2601423,239428,197669,45314,808380,149294,149582,173144,50582,185772,24481,153150,50582,126090,85670,1047427,35459,2579510,755141,34008,43135,44705,46790,104158,623363,79550,152589,31238,28718,18882,125910,20298,34373,36738,82564,118928,285175,17686,94868,3736786,28958,1090751,358703,53389,1532196,127120,222247,92744,35362,226929,25200,753527,28561,113027,255523,38915,38637,31677,292259,410436,71751,181447,1304189,86345,56782,3508605,37657,1737421,44257,160525,171160,26736,187162,355615,165243,408359,49413,54215,57286,26515,426570,524989,89199,17385,29307,332143,43817,949381,951233,509401,3643709,983218,245675,23115,57445,846762,95405,133839,10026,3719,19958,3254982,31715,88404,16032858,1125620,27820,21241,53791,345373,1822117,40956,9377,78554,13162,7709,17382,14619,80649,70298,115567,1117954,55130,18194,50759,9408,90198,1310413,998586,1672286,82879,164768,622218,114496,103230
SRR6784546,cfs,140232,5606,357274,734975,62228,102941,1735,1399,675,148726,33858,4259,10971,93984,13388,26420,53197,1207,4288,2549,12359,1980,8730,87205,219447,84135,149359,47140,19039,362157,111890,571167,6295,118797,16156,2169,58792,890,7462,42906,9755,3165,16442,1197,8266,1980,62265,3670,4963,47332,25568,2720,1793,355,1599,3389,1107,865,1669,3525,28856,55437,2160,92252,15882,610,1002,1538,1498,2470,20161,1586,10547,1563,2726,822,13860,2569,9147,7561,17484,15244,135017,956,2254,141779,4146,247565,93293,8410,1004890,10278,99996,44848,5092,34565,2646,2354,4030,42908,6123,4991,6541,2795,381220,29566,28223,49190,12729,993,2929,52428,2766,16880,465,46891,22446,3817,3702,14459,4835,10574,3639,22351,10096,3863,103033,371006,44517,2872,6664,2916,508,9931,48885,21115,1289989,513695,81164,1733,4874,65107,7977,25197,1471,9392,5824,67245,15338,3012,23101,2359,1266,10441,1111,9053,104205,2080,277,2977,495,327,718,639,1908246,19706,33413,65149,25901,8370,14807,2745,21053,25434,42026,22565,23817,7504321,2884,2755,14133
