sample_id,group,Acutalibacteraceae bacterium,Agathobacter rectalis,Agathobacter rectalis ATCC 33656,Agathobacter sp.,Akkermansia muciniphila,Alistipes,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Alistipes sp.,Anaerobutyricum hallii,Anaerostipes hadrus,Bacilli bacterium,Bacillota,Bacillota bacterium,Bacteriophage sp.,Bacteroidaceae,Bacteroidaceae bacterium,Bacteroidales bacterium,Bacteroides,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides fragilis str. 3397 T10,Bacteroides intestinalis,Bacteroides ovatus,Bacteroides sp.,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides xylanisolvens,Barnesiella intestinihominis,Barnesiella sp.,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Blautia,Blautia massiliensis (ex Durand et al. 2017),Blautia sp.,Blautia sp. OF11-22,Blautia wexlerae,Brotocaccenecus cirricatena,Caudoviricetes sp.,Christensenellaceae bacterium,Christensenellales bacterium,Clostridia bacterium,Clostridiaceae bacterium,Clostridiales bacterium,Clostridium sp.,Clostridium sp. AF34-10BH,Collinsella sp.,Coprococcus eutactus,Dialister sp.,Enterocloster bolteae,Escherichia albertii B156,Eubacteriaceae bacterium Marseille-Q4139,Eubacterium ramulus ATCC 29099,Faecalibacillus sp. H12,Faecalibacterium,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii M21/2,Flavobacterium tibetense,Fusibacter tunisiensis,Gelidibacter sp.,Gemella sanguinis,Gemmiger formicilis,Gemmiger gallinarum,Intestinimonas,Lachnoclostridium sp. YL32,Lachnospira pectinoschiza,Lachnospira sp.,Mediterraneibacter faecis,Oscillibacter hominis,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20,Pantoea sp.,Parabacteroides chinchillae,Parabacteroides leei,Phascolarctobacterium faecium,Phascolarctobacterium succinatutens CAG:287,Phocaeicola,Phocaeicola coprocola CAG:162,Phocaeicola coprophilus CAG:333,Phocaeicola fibrisolvens,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Phocaeicola salanitronis DSM 18170,Phocaeicola sp.,Prevotella pectinovora,Prevotella sp. tf2-5,Romboutsia sp.,Roseburia amylophila,Roseburia difficilis,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus hominis,Segatella,Slackia exigua,Streptomyces sp. DSM 41524,Subdoligranulum sp. AF14-43,Veillonellaceae bacterium
SRR24907908,controle,3672,113846,7856,43242,4873,186799,5712,24207,50001,12225,49213,4267,14250,692,24461,13633,23290,163056,1360,5281,791870,57313,6268,15265,144826,5339,20017,1941,5010,67325,73907,68354,362166,41224,3543,1344,8082,2204,20610,2540,5034,678,15785,634,94468,1791,6737,9064,1069,34568,17156,1189,2088,1499,3756,1633,24794,1893,21625,55511,10280,121369,102053,2110,12199,3707,8752,6128,10600,831,50397,44609,53892,1818,16791,3658,65788,50545,54079,101579,75,333175,5399,740,277160,3329,492111,29922,324797,7014,374,69864,177969,4392,5877,29986,11717,879,4352,1796,890
ERR911979,controle,1394,5524192,563933,868919,513,267648,141381,137015,6692,4850,29915,154361,63510,412,280194,3827,164447,153439,1994,2858,1130604,8233,2926,4267,7832,3859,147405,1807,2590,37649,104917,154476,645170,18810,23119,11631,158639,7835,521092,65350,147646,7551,389373,2554,420608,198,377,2138,972,12641,7869,578,34705,2755,10029,10885,277342,6169,430872,207296,51586,294257,68922,14932,246101,38764,101382,33778,76389,2472,18329,696176,239877,39663,13025,19912,564060,57956,118429,14676,732,573381,1097,979,31165,3451,5574,35300,624988,24901,31,293050,624513,43912,711273,492286,11233,10061,30577,28174,709
ERR911956,controle,18532,265197,21281,53558,87223,3593540,199723,885828,198999,107909,432397,43812,80471,9241,115976,55407,890854,545462,6230,6117,4066108,208102,1707976,39904,16409,42039,105789,7034,94123,326342,328837,287991,1860254,163626,65568,29855,2750,9517,94556,6380,30525,4612,80053,3962,171546,14464,19973,209959,161232,173957,76014,23099,1102,34460,1409,8335,111507,26847,61604,115403,21336,242399,139846,21463,90960,17382,67942,6811,27806,5828,15237,193868,160816,11798,23363,20377,225212,274854,467320,204600,23539,1510289,4514,3758,1408149,9499,38448,159584,1523254,323208,11373,42358,57565,60842,9395,61306,68444,3822,15196,17696,2344
SRR6784564,controle,2843,129735,13501,28348,209991,2597441,80799,556246,538057,49114,717565,2310,2108,2777,41339,12253,202618,252097,8178,13242,758425,14644,12757,8194,6820,15693,52479,4191,9011,99262,617652,150639,377862,95233,582650,299228,25341,6145,48848,1199,17525,2093,40749,607,218831,3960,7431,20562,2430,35411,20769,4737,2307,1416,1231,4078,69161,5029,60615,118403,25538,191779,141530,12053,66810,10181,17585,26994,34806,1762,2921,92928,46886,5053,8700,10075,70031,701863,487701,299003,7130,709237,170768,9434,128790,9358,28667,72601,764404,77472,38,10463,8013,2781,3463,16603,8475,2648,13823,5058,421
SRR6784403,controle,10865,47362,1688,27316,29609,119732,24744,8873,55707,20545,1189766,3814,15953,9623,71786,146892,32026,109408,6091,1166034,515119,63137,79175,6230,15585,20030,19176,984,14717,34318,57933,29929,296270,15912,129860,70128,5220,3613,25397,2658,10441,1090,26923,19653,81282,147884,339580,334313,19531,700358,94811,543,4972,9391,783,2992,23378,24697,257320,60744,10738,182657,184077,22477,19341,23394,74463,12181,33830,7524,76350,103927,139654,5497,95965,12886,494197,63713,35342,65327,6224,321460,3761,204402,54787,3531,215787,28824,333378,22091,385,71686,130455,20394,32053,49525,4527,2640,17016,13230,1726
SRR8556880,controle,4777,43391,2104,13256,29110,134924,7758,6790,63400,3186,33674,2559,8673,2099,33320,30200,46573,164523,1562,6175,609960,73259,74987,5129,5447,4184,10068,1577,21754,66353,58621,145028,214442,37652,68243,34435,1309,806,14668,1807,8168,834,13327,2276,148912,5402,27258,234607,28269,121291,105843,2998,970,2212,1161,2724,19049,5631,84034,152124,10008,295288,179151,8305,16656,7058,7285,13336,22448,1502,676984,48523,114708,2791,17858,5700,119273,34629,34645,34286,108,456732,2831,99244,44374,2949,9879,28362,416247,72088,11981,29761,46041,59395,5929,154229,67643,1205,7081,3272,1266
SRR24908040,controle,87582,8026,425,1708,10996,41659,4582,1963,11356,3907,10823,4288,1278,540,15000,21911,20454,47156,5779,5156,165889,37916,3365,6051,4036,3615,13309,615,3394,25642,26994,17217,61848,8919,13813,9725,737,1827,3071,673,2011,206,3419,2363,27460,576,2208,9116,1690,30117,10322,2348,1673,794,262,1211,17874,1378,5312,9012,2271,21199,13930,1961,2574,726,2973,1189,2579,2268,7414,11015,19432,1025,16520,1389,124784,58345,30243,52456,3431,181298,1748,350,125494,169162,2049,11690,118421,261235,20526,14946,5026,8698,4177,24944,1263071,1313,907,1186,459
SRR6784574,controle,9604,418509,36380,151857,204568,739197,124503,221652,49351,87346,234144,12662,53500,10373,105799,43015,213005,2204095,16446,42546,7323228,962141,85109,2398182,219132,83354,429587,25448,55380,581800,772065,527444,2553399,918966,50848,12132,142213,32840,169576,12971,69084,2843,143102,3279,231110,10445,11331,27915,6153,83149,63665,18316,6867,3470,3217,4328,313080,7369,138501,140809,28107,384633,211359,28673,85201,24540,93309,14410,37016,3344,159500,190207,172709,15762,21932,25088,349824,702855,977176,265254,14608,6793403,55043,12894,1116342,76065,1941384,581297,7354155,45704,7231,271279,392031,12663,16749,67086,19774,8446,19210,18270,1140
SRR24907956,controle,2086,68152,6116,13693,1627,157246,33254,17298,27614,19261,38943,4214,6479,13171,19505,46161,40243,91949,721,2156,699838,22216,24906,2962,1902,3299,11020,1854,21726,86890,54487,34612,204738,22081,2309,735,1028,1983,13071,979,2613,931,10808,926,36334,1829,4446,4836,2289,35726,7202,354,1119,1684,502,2368,20172,1809,20788,18825,3635,42940,24160,5167,7248,2017,7413,1801,3924,3810,12065,22266,16902,1262,11279,7151,73736,23158,13121,22058,1208,229998,557,171,96737,48941,1871,15373,192375,5325,52,5063,5935,32817,7860,30537,3272,639,2113,1272,858
SRR24907938,controle,2630,44793,3795,10724,18361,18679,864,3007,1948,4021,4068,3619,5086,641,12479,24184,54809,22349,3358,12049,223071,37621,1900,1478,4050,2319,7136,2051,1372,82576,18202,14956,30283,32098,10342,6326,916,445,7318,1614,3064,185,3639,1556,38508,2594,12945,25156,16819,63357,19632,1092,679,3229,1446,996,10285,11131,31997,9798,4093,22647,21164,1482,4875,1826,4673,2461,4816,957,5330,25576,39565,700,4680,2204,73449,33246,19534,25938,1408,36766,14581,120,37193,1512,3109,3082,47739,811184,13650,12199,12340,2500,20867,12117,135248,586,2109,1064,437
