sample_id,group,Acetatifactor sp.,Acutalibacteraceae bacterium,Agathobacter,Agathobacter rectalis,Agathobacter rectalis ATCC 33656,Agathobacter sp.,Akkermansia,Akkermansia muciniphila,Akkermansia sp.,Alistipes,Alistipes communis,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes putredinis DSM 17216,Alistipes senegalensis,Alistipes shahii,Alistipes sp.,Alistipes sp. HGB5,Anaerobutyricum hallii,Anaerostipes hadrus,Bacilli bacterium,Bacillota,Bacillota bacterium,Bacteria,Bacteriophage sp.,Bacteroidaceae,Bacteroidaceae bacterium,Bacteroidales,Bacteroidales bacterium,Bacteroides,Bacteroides acidifaciens,Bacteroides caccae,Bacteroides caccae ATCC 43185,Bacteroides cellulosilyticus,Bacteroides eggerthii,Bacteroides eggerthii 1_2_48FAA,Bacteroides eggerthii DSM 20697,Bacteroides faecis,Bacteroides finegoldii,Bacteroides finegoldii DSM 17565,Bacteroides fragilis,Bacteroides fragilis 3_1_12,Bacteroides intestinalis,Bacteroides ovatus,Bacteroides ovatus ATCC 8483,Bacteroides ovatus SD CMC 3f,Bacteroides salyersiae,Bacteroides sp.,Bacteroides sp. 1_1_30,Bacteroides sp. 2_2_4,Bacteroides sp. 3_1_33FAA,Bacteroides sp. 3_1_40A,Bacteroides sp. 4_1_36,Bacteroides sp. 4_3_47FAA,Bacteroides sp. 9_1_42FAA,Bacteroides sp. D20,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroides uniformis,Bacteroides uniformis ATCC 8492,Bacteroides uniformis CAG:3,Bacteroides uniformis CL03T00C23,Bacteroides uniformis CL03T12C37,Bacteroides uniformis dnLKV2,Bacteroides uniformis str. 3978 T3 ii,Bacteroides xylanisolvens,Bacteroides xylanisolvens SD CC 2a,Bacteroidota,Barnesiella intestinihominis,Barnesiella sp.,Bifidobacterium longum,Blautia,Blautia faecis,Blautia massiliensis (ex Durand et al. 2017),Blautia obeum,Blautia sp.,Blautia wexlerae,Brotocaccenecus cirricatena,Brotolimicola acetigignens,Catenibacterium mitsuokai,Caudoviricetes sp.,Christensenellales bacterium,Clostridia,Clostridia bacterium,Clostridiaceae bacterium,Clostridiales bacterium,Clostridioides difficile,Clostridium sp.,Clostridium sp. AF34-10BH,Clostridium sp. AM34-9AC,Collinsella sp.,Coprococcus,Coprococcus comes,Coprococcus eutactus,Dialister invisus,Dorea formicigenerans,Dorea longicatena,Dysosmobacter sp.,Enterocloster bolteae,Enterococcus faecium,Escherichia albertii B156,Eubacteriaceae bacterium CHKCI005,Eubacteriaceae bacterium Marseille-Q4139,Eubacterium ramulus ATCC 29099,Faecalibacillus sp. H12,Faecalibacillus sp. MSK20_93,Faecalibacterium,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii M21/2,Flavobacterium tibetense,Fusibacter tunisiensis,Gelidibacter sp.,Gemella sanguinis,Gemmiger formicilis,Gemmiger gallinarum,Hungatella,Intestinimonas,Lachnoclostridium sp. YL32,Lachnospira eligens,Lachnospira hominis,Lachnospira pectinoschiza,Lachnospira sp.,Lacrimispora defluvii,Mediterraneibacter butyricigenes,Mediterraneibacter faecis,Oceanirhabdus seepicola,Odoribacter sp. N54.MGS-14,Oscillibacter hominis,Oscillibacter sp. KLE 1728,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20,Oscillospiraceae bacterium NTUH-002-81,Pantoea sp.,Parabacteroides chinchillae,Parabacteroides faecalis,Parabacteroides gordonii MS-1 = DSM 23371,Parabacteroides leei,Parabacteroides massiliensis,Parabacteroides provencensis,Parabacteroides segnis,Paramuribaculum sp.,Phascolarctobacterium succinatutens CAG:287,Phocaeicola,Phocaeicola coprocola,Phocaeicola coprophilus CAG:333,Phocaeicola coprophilus DSM 18228 = JCM 13818,Phocaeicola dorei CL02T00C15,Phocaeicola dorei CL02T12C06,Phocaeicola fibrisolvens,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Phocaeicola salanitronis,Phocaeicola salanitronis DSM 18170,Phocaeicola sp.,Phocaeicola sp. KGMB11183,Phocaeicola vulgatus CAG:6,Phocaeicola vulgatus dnLKV7,Phocaeicola vulgatus str. 3775 SL(B) 10 (iv),Prevotella pectinovora,Romboutsia sp.,Roseburia amylophila,Roseburia difficilis,Roseburia hominis,Roseburia intestinalis,Roseburia intestinalis M50/1,Roseburia inulinivorans,Roseburia porci,Ruminococcaceae bacterium OttesenSCG-928-L11,Ruminococcus albus,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus hominis,Ruminococcus turbiniformis,Segatella,Streptomyces sp. DSM 41524,Streptomyces viridodiastaticus,Subdoligranulum sp. AF14-43,Tannockella kyphosi
SRR24907908,controle,3748,3672,51677,113846,7856,43242,1539,4873,471,186799,1699,5712,24207,50001,12875,1149,12225,49213,1573,4267,14250,692,24461,13633,665459,23290,163056,1360,567994,5281,791870,6847,57313,6828,6268,15265,612,2309,144826,5339,1660,20017,514,5010,67325,1691,1445,2102,73907,2355,1109,6118,7608,11851,33228,7431,11879,11500,68354,1750,362166,40617,4088,4348,2959,6064,6579,41224,2374,20412,3543,1344,8082,20610,1231,2540,2064,5034,15785,634,4018,8885,94468,6737,55787,9064,1069,34568,4061,17156,1189,888,2088,7636,5818,1499,44709,1303,2471,1424,1633,6567,24794,11045,1893,21625,55511,7254,10280,121369,102053,2110,12199,3707,8752,6128,10600,985,831,50397,653,7551,44609,53892,1193,920,1818,8489,52230,16791,1266,3658,65788,791,50545,54079,4225,3858,101579,6365,10874,2205,5897,333175,5399,7443,277160,3263,12686,27035,3329,492111,5824,29922,324797,13900,22935,6406,4288,7014,69864,177969,4392,13290,1311,10645,1201,18193,14733,3976,5877,29986,1805,11717,4352,1006,1796,2551
ERR911979,controle,945,1394,3784088,5524192,563933,868919,274,513,153,267648,51949,141381,137015,6692,1181,974,4850,29915,8069,154361,63510,412,280194,3827,194362,164447,153439,1994,132742,2858,1130604,3487,8233,141,2926,4267,113,442,7832,3859,1051,147405,347,2590,37649,2638,284,1757,104917,415,6493,913,3606,18077,2776,915,9805,6552,154476,2347,645170,48163,3788,3516,2308,2262,8426,18810,76,4103,23119,11631,158639,521092,74593,65350,143311,147646,389373,2554,3701,7862,420608,377,959420,2138,972,12641,76155,7869,578,6920,34705,73241,338887,2755,92975,52707,321460,1754,10885,36477,277342,65866,6169,430872,207296,16280,51586,294257,68922,14932,246101,38764,101382,33778,76389,13790,2472,18329,17774,20417,696176,239877,5046,89916,39663,1789,9934,13025,1511,19912,564060,8735,57956,118429,903,1075,14676,979,16655,1913,2309,573381,1097,353,31165,117,131,3210,3451,5574,2129,35300,624988,6445,9623,2849,2279,24901,293050,624513,43912,72976,18269,92770,17786,102997,2556691,18566,711273,492286,4883,11233,30577,12537,28174,42421
ERR911956,controle,56097,18532,238539,265197,21281,53558,101552,87223,12230,3593540,195146,199723,885828,198999,35805,12763,107909,432397,13305,43812,80471,9241,115976,55407,253661,890854,545462,6230,1253841,6117,4066108,17800,208102,11548,1707976,39904,4836,2449,16409,42039,12900,105789,5514,94123,326342,4814,4513,16792,328837,8144,5891,21521,7399,28172,5960,11630,31779,526958,287991,5224,1860254,110539,9106,7747,6255,6808,23647,163626,4650,29067,65568,29855,2750,94556,5787,6380,41876,30525,80053,3962,103439,19131,171546,19973,275206,209959,161232,173957,37957,76014,23099,25282,1102,5544,55900,34460,2094,16765,41570,8979,8335,10403,111507,40932,26847,61604,115403,2876,21336,242399,139846,21463,90960,17382,67942,6811,27806,10046,5828,15237,1448,5367,193868,160816,31636,22541,11798,11467,61607,23363,5346,20377,225212,3651,274854,467320,7156,301407,204600,14181,103487,8324,694249,1510289,4514,20519,1408149,5849,4971,52507,9499,38448,8716,159584,1523254,11521,15624,4907,5950,323208,42358,57565,60842,35642,7583,36096,7510,34819,39742,6899,9395,61306,7041,68444,15196,3238,17696,24989
SRR6784564,controle,17677,2843,76701,129735,13501,28348,96468,209991,40978,2597441,26128,80799,556246,538057,126970,5016,49114,717565,9987,2310,2108,2777,41339,12253,199484,202618,252097,8178,1028937,13242,758425,17887,14644,383,12757,8194,1963,8819,6820,15693,4880,52479,5111,9011,99262,4042,3016,9528,617652,4400,3088,3673,16655,13711,12689,6466,9430,270499,150639,8034,377862,66150,3819,3829,2253,2511,8797,95233,5347,45354,582650,299228,25341,48848,2263,1199,4301,17525,40749,607,24951,6894,218831,7431,71302,20562,2430,35411,7365,20769,4737,6185,2307,243,6614,1416,1777,2318,4189,2951,4078,5140,69161,37150,5029,60615,118403,19909,25538,191779,141530,12053,66810,10181,17585,26994,34806,2796,1762,2921,828,3747,92928,46886,8288,10635,5053,15451,75179,8700,1614,10075,70031,3700,701863,487701,10136,8547,299003,44001,186056,8995,24971,709237,170768,19038,128790,814,2004,12231,9358,28667,9560,72601,764404,30031,42146,13257,10901,77472,10463,8013,2781,38875,3110,19342,2780,11698,489,835,3463,16603,2494,8475,13823,5325,5058,7647
SRR6784403,controle,2372,10865,3199,47362,1688,27316,12582,29609,6029,119732,2307,24744,8873,55707,7700,3008,20545,1189766,1919,3814,15953,9623,71786,146892,85628,32026,109408,6091,268294,1166034,515119,5143,63137,6463,79175,6230,1028,10113,15585,20030,7179,19176,3500,14717,34318,3783,796,8116,57933,707,737,940,7566,8693,5740,2727,8473,101748,29929,891,296270,30320,3373,2893,1815,3627,5184,15912,790,7092,129860,70128,5220,25397,3346,2658,5901,10441,26923,19653,2966,6750,81282,339580,112635,334313,19531,700358,13433,94811,543,1027,4972,6780,20287,9391,1761,4757,10484,18003,2992,4851,23378,30461,24697,257320,60744,4311,10738,182657,184077,22477,19341,23394,74463,12181,33830,3859,7524,76350,1922,23844,103927,139654,2389,5083,5497,9097,42714,95965,26664,12886,494197,6445,63713,35342,1967,4150,65327,8081,19499,1123,107112,321460,3761,2203,54787,339,941,5294,3531,215787,3923,28824,333378,12700,19604,6934,4299,22091,71686,130455,20394,10396,2355,10796,3000,40711,32137,8506,32053,49525,7305,4527,17016,2619,13230,14155
SRR8556880,controle,32033,4777,8386,43391,2104,13256,9278,29110,3656,134924,34840,7758,6790,63400,7387,1462,3186,33674,440,2559,8673,2099,33320,30200,110215,46573,164523,1562,272693,6175,609960,11902,73259,4533,74987,5129,1717,1477,5447,4184,2495,10068,2220,21754,66353,1272,1064,6069,58621,2738,1864,1406,6606,4102,8742,702,3197,129741,145028,2842,214442,11323,1361,1311,862,1446,2369,37652,1036,8496,68243,34435,1309,14668,2231,1807,5229,8168,13327,2276,7396,2768,148912,27258,126152,234607,28269,121291,5083,105843,2998,1410,970,969,5152,2212,37713,2321,5537,2263,2724,2994,19049,14837,5631,84034,152124,5192,10008,295288,179151,8305,16656,7058,7285,13336,22448,1730,1502,676984,888,78771,48523,114708,1355,1900,2791,2068,8944,17858,2264,5700,119273,1114,34629,34645,2675,1639,34286,3512,13000,865,211345,456732,2831,5047,44374,565,1094,5624,2949,9879,3013,28362,416247,15150,23793,6368,3725,72088,29761,46041,59395,11464,1017,24553,2602,16071,14458,1037,5929,154229,1456,67643,7081,1615,3272,4132
SRR24908040,controle,6991,87582,1462,8026,425,1708,6674,10996,1564,41659,2748,4582,1963,11356,1929,386,3907,10823,504,4288,1278,540,15000,21911,78524,20454,47156,5779,195668,5156,165889,3473,37916,3817,3365,6051,607,515,4036,3615,1733,13309,54,3394,25642,1974,943,2701,26994,532,1870,2515,2661,3844,3796,1721,2358,79056,17217,773,61848,11050,960,956,616,728,1796,8919,665,6669,13813,9725,737,3071,517,673,1008,2011,3419,2363,7488,2009,27460,2208,26067,9116,1690,30117,3493,10322,2348,1590,1673,3360,3160,794,531,867,2340,2196,1211,923,17874,4375,1378,5312,9012,278,2271,21199,13930,1961,2574,726,2973,1189,2579,856,2268,7414,418,2457,11015,19432,1771,2640,1025,3766,17821,16520,3747,1389,124784,299,58345,30243,1610,2278,52456,5992,13605,1714,10142,181298,1748,615,125494,1223,970,14752,169162,2049,4218,11690,118421,6213,8414,2291,1759,261235,14946,5026,8698,3470,597,41930,4984,16378,1460,151,4177,24944,1670,1263071,907,653,1186,1402
SRR6784574,controle,56294,9604,202176,418509,36380,151857,87498,204568,37972,739197,133874,124503,221652,49351,6931,8636,87346,234144,16697,12662,53500,10373,105799,43015,1836408,213005,2204095,16446,6782986,42546,7323228,122171,962141,87915,85109,2398182,202584,217870,219132,83354,40224,429587,25171,55380,581800,26332,29561,43955,772065,42201,26128,72776,157174,109135,131078,33395,97123,964714,527444,18722,2553399,341722,27853,33970,19110,32864,66531,918966,44825,220734,50848,12132,142213,169576,10568,12971,18378,69084,143102,3279,83430,57611,231110,11331,308557,27915,6153,83149,26307,63665,18316,20894,6867,15588,53885,3470,6380,9621,18679,7435,4328,32750,313080,38777,7369,138501,140809,15766,28107,384633,211359,28673,85201,24540,93309,14410,37016,5300,3344,159500,6804,49259,190207,172709,28173,14741,15762,26579,179951,21932,1998,25088,349824,3725,702855,977176,30139,12733,265254,46170,263727,19211,55101,6793403,55043,138516,1116342,9474,20493,113856,76065,1941384,83659,581297,7354155,290366,394765,134961,100012,45704,271279,392031,12663,201265,18850,178151,23787,143502,4661,1830,16749,67086,3575,19774,19210,2933,18270,13323
SRR24907956,controle,990,2086,36670,68152,6116,13693,196,1627,334,157246,554,33254,17298,27614,4740,1464,19261,38943,4065,4214,6479,13171,19505,46161,65206,40243,91949,721,263033,2156,699838,3802,22216,2356,24906,2962,1129,3357,1902,3299,2083,11020,673,21726,86890,9339,3153,4459,54487,964,2927,2507,8992,10004,5640,1988,21069,18734,34612,1663,204738,37532,3948,3695,2254,3460,8325,22081,1764,12165,2309,735,1028,13071,812,979,1854,2613,10808,926,1458,8353,36334,4446,31724,4836,2289,35726,3143,7202,354,137,1119,2951,3118,1684,613,655,1277,3730,2368,1352,20172,9340,1809,20788,18825,1862,3635,42940,24160,5167,7248,2017,7413,1801,3924,1851,3810,12065,1623,10422,22266,16902,825,817,1262,2017,13082,11279,3391,7151,73736,297,23158,13121,1259,1430,22058,3039,5272,639,1125,229998,557,1892,96737,1090,1592,12474,48941,1871,3581,15373,192375,8628,13310,3232,4075,5325,5063,5935,32817,18642,1437,5745,771,9286,12445,8782,7860,30537,2285,3272,2113,482,1272,2194
SRR24907938,controle,12923,2630,24798,44793,3795,10724,13660,18361,2571,18679,3199,864,3007,1948,171,267,4021,4068,224,3619,5086,641,12479,24184,51927,54809,22349,3358,136379,12049,223071,4300,37621,4991,1900,1478,333,683,4050,2319,970,7136,60,1372,82576,4271,4393,1401,18202,1362,3757,780,1108,1172,990,885,1021,198501,14956,613,30283,3475,376,338,254,380,891,32098,1560,6315,10342,6326,916,7318,653,1614,858,3064,3639,1556,3285,850,38508,12945,29425,25156,16819,63357,1626,19632,1092,944,679,8427,2816,3229,382,677,2012,747,996,1175,10285,5445,11131,31997,9798,780,4093,22647,21164,1482,4875,1826,4673,2461,4816,507,957,5330,316,7150,25576,39565,896,557,700,1834,10136,4680,1738,2204,73449,742,33246,19534,849,1128,25938,4197,7699,1351,3182,36766,14581,1995,37193,779,363,4251,1512,3109,833,3082,47739,1540,2021,713,631,811184,12199,12340,2500,4080,892,15853,1802,7412,13643,1794,20867,12117,1128,135248,2109,542,1064,1678
