	ERR1331785	ERR1331786	ERR1331787	ERR1331788	ERR1331789	ERR1331790	ERR1331791	ERR1331792	ERR1331793	ERR1331794	ERR1331796	ERR1331797	ERR1331798	ERR1331799	ERR1331802	ERR1331803	ERR1331804	ERR1331805	ERR1331806	ERR1331807	ERR1331808	ERR1331809	ERR1331810	ERR1331813	ERR1331819	ERR1331820	ERR1331821	ERR1331822	ERR1331823	ERR1331824	ERR1331825	ERR1331826	ERR1331827	ERR1331828	ERR1331831	ERR1331832	ERR1331834	ERR1331835	ERR1331836	ERR1331837	ERR1331838	ERR1331839	ERR1331840	ERR1331841	ERR1331844	ERR1331845	ERR1331846	ERR1331847	ERR1331848	ERR1331849	ERR1331850	ERR1331851	ERR1331854	ERR1331855	ERR1331858	ERR1331859	ERR1331860	ERR1331862	ERR1331863	ERR1331864	ERR1331865	ERR1331866	ERR1331867	ERR1331868	ERR1331869	ERR1331870	ERR1331871	ERR1331872
ERR1331785	0.0	0.8624	0.9453	0.9406	0.893	0.8751	0.8797	0.8415	0.8797	0.9368	0.8164	0.9106	0.8998	0.8889	0.6738	0.7611	0.938	0.9218	0.8784	0.883	0.909	0.9154	0.8578	0.9589	0.8908	0.9005	0.6753	0.8727	0.9146	0.9212	0.8472	0.8603	0.9261	0.8397	0.9247	0.7977	0.8615	0.9214	0.8745	0.9349	0.8429	0.8586	0.8444	0.8023	0.8773	0.8683	0.9412	0.8145	0.9296	0.8133	0.8968	0.9294	0.7744	0.9215	0.9022	0.8994	0.9202	0.7669	0.846	0.8997	0.8369	0.8937	0.8473	0.9727	0.8313	0.9231	0.7681	0.8658
ERR1331786	0.8624	0.0	0.9562	0.647	0.8835	0.7058	0.7764	0.6657	0.9442	0.8876	0.8986	0.8875	0.6915	0.8112	0.8776	0.9059	0.7561	0.9346	0.9003	0.5121	0.8748	0.9051	0.8733	0.9527	0.8803	0.7764	0.9498	0.8455	0.7882	0.8727	0.9076	0.8316	0.4283	0.8402	0.8048	0.7081	0.9056	0.9801	0.7414	0.9568	0.8277	0.8953	0.9023	0.9139	0.8671	0.906	0.9265	0.7798	0.7982	0.824	0.7727	0.8175	0.851	0.9752	0.7048	0.6799	0.9247	0.9084	0.9107	0.8109	0.7628	0.766	0.8296	0.8778	0.7293	0.8859	0.9002	0.8874
ERR1331787	0.9453	0.9562	0.0	0.8003	0.9651	0.9532	0.893	0.9815	0.9608	0.9873	0.9513	0.9822	0.944	0.9255	0.9372	0.9598	0.8738	0.9088	0.9707	0.9691	0.9687	0.9056	0.9123	0.8984	0.9851	0.9013	0.8842	0.9785	0.9895	0.9844	0.9058	0.966	0.9778	0.9638	0.9734	0.8966	0.912	0.9854	0.9814	0.9743	0.9379	0.9213	0.8724	0.9565	0.9062	0.895	0.9859	0.9073	0.8668	0.8936	0.9346	0.9894	0.9667	0.9796	0.9816	0.9671	0.967	0.9627	0.9762	0.8984	0.9802	0.8513	0.9788	0.982	0.971	0.9884	0.9326	0.919
ERR1331788	0.9406	0.647	0.8003	0.0	0.8825	0.6871	0.8426	0.755	0.9512	0.8905	0.9395	0.8762	0.7937	0.8214	0.953	0.9553	0.6585	0.6315	0.9399	0.716	0.8778	0.727	0.8513	0.7571	0.888	0.8111	0.9772	0.8605	0.7975	0.8522	0.9277	0.8966	0.6548	0.8511	0.7879	0.6623	0.8814	0.9755	0.7733	0.9685	0.802	0.9109	0.7424	0.9505	0.6907	0.9068	0.9354	0.737	0.8837	0.8401	0.7847	0.8262	0.8953	0.9806	0.8093	0.8207	0.9189	0.9326	0.9468	0.5167	0.819	0.7575	0.8614	0.9692	0.7306	0.9067	0.9694	0.8668
ERR1331789	0.893	0.8835	0.9651	0.8825	0.0	0.7026	0.7526	0.6673	0.76	0.8704	0.8417	0.7177	0.756	0.87	0.9268	0.9263	0.8429	0.8932	0.7904	0.8057	0.6596	0.7634	0.8592	0.7096	0.839	0.8439	0.922	0.7839	0.766	0.7121	0.8502	0.9094	0.8639	0.7373	0.8146	0.841	0.8677	0.9152	0.7626	0.8918	0.8291	0.8914	0.857	0.9271	0.7662	0.8491	0.8794	0.7285	0.8909	0.8217	0.799	0.8043	0.7942	0.9225	0.8538	0.843	0.7902	0.9092	0.8163	0.7789	0.836	0.8175	0.5646	0.9801	0.8473	0.862	0.8928	0.8998
ERR1331790	0.8751	0.7058	0.9532	0.6871	0.7026	0.0	0.7173	0.75	0.7377	0.8889	0.8729	0.7276	0.7196	0.8919	0.8989	0.886	0.7143	0.9291	0.8603	0.752	0.7456	0.7702	0.8725	0.7696	0.8553	0.8396	0.9087	0.7758	0.8428	0.7175	0.8932	0.913	0.6777	0.7037	0.7699	0.642	0.8917	0.8994	0.7942	0.9478	0.8424	0.7806	0.8466	0.9147	0.8841	0.8861	0.9191	0.6858	0.9285	0.8083	0.7646	0.7867	0.8345	0.8866	0.8242	0.8919	0.8597	0.8701	0.8582	0.8127	0.8231	0.8577	0.7334	0.9689	0.5901	0.8872	0.8352	0.9208
ERR1331791	0.8797	0.7764	0.893	0.8426	0.7526	0.7173	0.0	0.7464	0.778	0.8999	0.8261	0.7754	0.5434	0.7622	0.9281	0.8897	0.7138	0.8651	0.808	0.75	0.724	0.7577	0.8393	0.7891	0.8242	0.5808	0.8414	0.8353	0.7796	0.7667	0.6121	0.7262	0.7651	0.7426	0.8493	0.859	0.863	0.9212	0.7241	0.9434	0.8035	0.5817	0.8464	0.9228	0.8551	0.6701	0.8634	0.79	0.7519	0.6081	0.6444	0.8409	0.7951	0.9453	0.7639	0.7728	0.8355	0.8771	0.8922	0.8499	0.5187	0.6233	0.5959	0.9875	0.8437	0.8618	0.8647	0.8874
ERR1331792	0.8415	0.6657	0.9815	0.755	0.6673	0.75	0.7464	0.0	0.7008	0.8159	0.7375	0.7039	0.6919	0.7034	0.8533	0.8654	0.724	0.8445	0.7412	0.5825	0.7215	0.8015	0.7702	0.9556	0.6375	0.6196	0.79	0.6232	0.5751	0.6901	0.6924	0.6029	0.5843	0.6374	0.6475	0.7386	0.724	0.8654	0.5473	0.8637	0.6373	0.8474	0.7882	0.8496	0.7198	0.7779	0.8418	0.5601	0.741	0.7276	0.6547	0.7182	0.7161	0.8327	0.604	0.7253	0.7457	0.6966	0.7697	0.7046	0.6436	0.6399	0.5701	0.9959	0.7267	0.7691	0.8252	0.7802
ERR1331793	0.8797	0.9442	0.9608	0.9512	0.76	0.7377	0.778	0.7008	0.0	0.919	0.7741	0.6573	0.7132	0.8517	0.8417	0.859	0.8281	0.9092	0.6969	0.7948	0.7322	0.7732	0.7576	0.6736	0.6765	0.7915	0.7715	0.77	0.616	0.4929	0.7073	0.6336	0.8038	0.528	0.7416	0.8613	0.7387	0.8145	0.7436	0.9082	0.5822	0.8542	0.6888	0.8304	0.8252	0.8211	0.7607	0.6195	0.7729	0.7035	0.8103	0.8452	0.7027	0.8208	0.7786	0.9093	0.7199	0.6673	0.7555	0.8629	0.7064	0.8312	0.6778	0.9669	0.6371	0.848	0.8187	0.8571
ERR1331794	0.9368	0.8876	0.9873	0.8905	0.8704	0.8889	0.8999	0.8159	0.919	0.0	0.8634	0.8674	0.883	0.902	0.9672	0.964	0.8762	0.8805	0.8825	0.8262	0.8237	0.8782	0.9163	0.9843	0.8286	0.8182	0.9388	0.7871	0.8175	0.8509	0.8673	0.926	0.8329	0.8208	0.8118	0.8908	0.8584	0.9297	0.8159	0.9135	0.906	0.927	0.892	0.9299	0.8591	0.8693	0.9269	0.8345	0.8981	0.8975	0.8214	0.813	0.8977	0.9212	0.8332	0.8807	0.844	0.92	0.922	0.8438	0.8918	0.8247	0.8232	0.9943	0.8846	0.8598	0.9685	0.8926
