	SRR13247365	SRR13247365C	SRR13247372	SRR13247372C	SRR13247410	SRR13247410C	SRR13247414	SRR13247414C	SRR13247420	SRR13247420C	SRR13247432	SRR13247432C	SRR13247439	SRR13247439C	SRR13247459	SRR13247459C	SRR13247464	SRR13247464C
SRR13247365	0.0	0.0621	0.6678	0.6599	0.6944	0.6975	0.6408	0.6422	0.7878	0.7931	0.8688	0.8705	0.6782	0.6668	0.727	0.7281	0.7201	0.7221
SRR13247365C	0.0621	0.0	0.6636	0.6545	0.708	0.7117	0.6445	0.6451	0.7865	0.7928	0.8688	0.8698	0.6752	0.6648	0.7277	0.7272	0.7214	0.7226
SRR13247372	0.6678	0.6636	0.0	0.0635	0.703	0.6987	0.7357	0.7329	0.7795	0.7772	0.828	0.8301	0.6872	0.6836	0.6841	0.6867	0.6355	0.6378
SRR13247372C	0.6599	0.6545	0.0635	0.0	0.7045	0.7011	0.7346	0.7328	0.784	0.7831	0.8237	0.8272	0.6869	0.683	0.69	0.6926	0.6371	0.6407
SRR13247410	0.6944	0.708	0.703	0.7045	0.0	0.0516	0.6185	0.6197	0.7752	0.7731	0.8572	0.8543	0.5354	0.5355	0.6643	0.6619	0.6279	0.6294
SRR13247410C	0.6975	0.7117	0.6987	0.7011	0.0516	0.0	0.6108	0.6125	0.7791	0.777	0.8593	0.8573	0.5313	0.5304	0.6676	0.6612	0.6232	0.6249
SRR13247414	0.6408	0.6445	0.7357	0.7346	0.6185	0.6108	0.0	0.0532	0.7104	0.7137	0.8364	0.8325	0.6367	0.6379	0.7435	0.7435	0.693	0.6916
SRR13247414C	0.6422	0.6451	0.7329	0.7328	0.6197	0.6125	0.0532	0.0	0.7118	0.7161	0.8358	0.8321	0.6334	0.6347	0.74	0.7409	0.6914	0.6912
SRR13247420	0.7878	0.7865	0.7795	0.784	0.7752	0.7791	0.7104	0.7118	0.0	0.066	0.8729	0.8731	0.7829	0.7788	0.8259	0.8316	0.7733	0.7711
SRR13247420C	0.7931	0.7928	0.7772	0.7831	0.7731	0.777	0.7137	0.7161	0.066	0.0	0.873	0.8731	0.7844	0.7805	0.8214	0.827	0.7715	0.7697
SRR13247432	0.8688	0.8688	0.828	0.8237	0.8572	0.8593	0.8364	0.8358	0.8729	0.873	0.0	0.042	0.8095	0.8065	0.8464	0.8447	0.7265	0.7253
SRR13247432C	0.8705	0.8698	0.8301	0.8272	0.8543	0.8573	0.8325	0.8321	0.8731	0.8731	0.042	0.0	0.8053	0.8031	0.8481	0.8465	0.7265	0.7263
SRR13247439	0.6782	0.6752	0.6872	0.6869	0.5354	0.5313	0.6367	0.6334	0.7829	0.7844	0.8095	0.8053	0.0	0.0475	0.614	0.6157	0.5769	0.5769
SRR13247439C	0.6668	0.6648	0.6836	0.683	0.5355	0.5304	0.6379	0.6347	0.7788	0.7805	0.8065	0.8031	0.0475	0.0	0.6201	0.6202	0.5744	0.5734
SRR13247459	0.727	0.7277	0.6841	0.69	0.6643	0.6676	0.7435	0.74	0.8259	0.8214	0.8464	0.8481	0.614	0.6201	0.0	0.0576	0.7427	0.7411
SRR13247459C	0.7281	0.7272	0.6867	0.6926	0.6619	0.6612	0.7435	0.7409	0.8316	0.827	0.8447	0.8465	0.6157	0.6202	0.0576	0.0	0.7411	0.7403
SRR13247464	0.7201	0.7214	0.6355	0.6371	0.6279	0.6232	0.693	0.6914	0.7733	0.7715	0.7265	0.7265	0.5769	0.5744	0.7427	0.7411	0.0	0.0682
SRR13247464C	0.7221	0.7226	0.6378	0.6407	0.6294	0.6249	0.6916	0.6912	0.7711	0.7697	0.7253	0.7263	0.5769	0.5734	0.7411	0.7403	0.0682	0.0
