# Constructed from biom file
#OTU ID	SRR13247365	SRR13247365C	SRR13247372	SRR13247372C	SRR13247410	SRR13247410C	SRR13247414	SRR13247414C	SRR13247420	SRR13247420C	SRR13247432	SRR13247432C	SRR13247439	SRR13247439C	SRR13247459	SRR13247459C	SRR13247464	SRR13247464C
1CMET2-PWY	47345.37725028228	47345.37725028228	49110.36830554221	49110.36830554221	46494.052806578584	46494.052806578584	51189.53819021361	51189.53819021361	46710.0871364675	46710.0871364675	31185.922794168455	31185.922794168455	49951.37135398277	49951.37135398277	60035.48327976843	60035.48327976843	41219.458416823276	41219.458416823276
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	47.469280061793825	47.469280061793825	133.45447339513166	133.45447339513166	9.740223780259528	9.740223780259528	5.237024824146498	5.237024824146498	60.738425668887466	60.738425668887466	32.50727641886666	32.50727641886666	23.661162315753252	23.661162315753252	34.46883947521143	34.46883947521143	72.60423997646129	72.60423997646129
AEROBACTINSYN-PWY	10.956707431910472	10.956707431910472	4.887424711829039	4.887424711829039	0.8258901930002988	0.8258901930002988	0.014352017300904199	0.014352017300904199	7.659367174301028	7.659367174301028	13.121359302217124	13.121359302217124	0.7067314420464152	0.7067314420464152	1.212253135091713	1.212253135091713	0.07699411311462084	0.07699411311462084
ALL-CHORISMATE-PWY	1100.8093876635976	1100.8093876635976	1565.9343465514753	1565.9343465514753	1017.9832898181072	1017.9832898181072	336.20107366249727	336.20107366249727	4551.679714275543	4551.679714275543	843.5341832423659	843.5341832423659	457.2373784242447	457.2373784242447	297.9536799994485	297.9536799994485	811.9811700101505	811.9811700101505
ANAEROFRUCAT-PWY	44665.88719592625	44665.88719592625	48894.7222776587	48894.7222776587	46809.781311084735	46809.781311084735	42687.291132079445	42687.291132079445	43770.154571049454	43770.154571049454	20024.73277629235	20024.73277629235	44436.96580776157	44436.96580776157	40612.24078918609	40612.24078918609	35807.47185288249	35807.47185288249
ANAGLYCOLYSIS-PWY	69520.54243504198	69520.54243504198	79970.7367665937	79970.7367665937	73227.10915825196	73227.10915825196	72089.8994528881	72089.8994528881	65047.86400367246	65047.86400367246	41896.07186361548	41896.07186361548	77491.76148661374	77491.76148661374	86408.75488444488	86408.75488444488	60052.37184703595	60052.37184703595
ARG+POLYAMINE-SYN	18255.346645343758	18255.346645343758	13368.568013887147	13368.568013887147	11791.51742517678	11791.51742517678	13830.5767952091	13830.5767952091	19526.174410595373	19526.174410595373	7855.783075585663	7855.783075585663	19836.922870248563	19836.922870248563	13753.380629777326	13753.380629777326	15541.567460790573	15541.567460790573
ARGDEG-PWY	54.2298266844211	54.2298266844211	92.55279341315	92.55279341315	115.28064094124585	115.28064094124585	5.745510089843119	5.745510089843119	757.4934591768688	757.4934591768688	39.545319670920904	39.545319670920904	25.66198063562945	25.66198063562945	3.5613407637854313	3.5613407637854313	21.820782808939857	21.820782808939857
ARGORNPROST-PWY	16083.028107368667	16083.028107368667	14194.633882280526	14194.633882280526	9460.537527729286	9460.537527729286	17304.502644568962	17304.502644568962	15917.716168726689	15917.716168726689	4686.173978746316	4686.173978746316	11632.408481977369	11632.408481977369	17211.040465313406	17211.040465313406	10539.897555058136	10539.897555058136
ARGSYN-PWY	54247.34295015251	54247.34295015251	59971.83045184234	59971.83045184234	50162.757089496765	50162.757089496765	52346.69059327137	52346.69059327137	47497.81798204847	47497.81798204847	27459.598870668196	27459.598870668196	55712.84761521132	55712.84761521132	64464.25308962493	64464.25308962493	46552.65462090751	46552.65462090751
ARGSYNBSUB-PWY	54864.87095623445	54864.87095623445	59584.207310387865	59584.207310387865	47683.12638002383	47683.12638002383	52139.763635194955	52139.763635194955	48733.0920694164	48733.0920694164	25980.71662390362	25980.71662390362	53639.15280365753	53639.15280365753	64628.98202725083	64628.98202725083	45790.18252636078	45790.18252636078
ARO-PWY	65382.76779911722	65382.76779911722	72132.9852245922	72132.9852245922	65781.43820562442	65781.43820562442	60421.305841383066	60421.305841383066	57790.001143498106	57790.001143498106	39639.792507259954	39639.792507259954	73925.00175391929	73925.00175391929	77260.11573035266	77260.11573035266	59475.681800446015	59475.681800446015
ASPASN-PWY	47843.734766877555	47843.734766877555	54344.27486074254	54344.27486074254	58791.009946173486	58791.009946173486	38700.36327086733	38700.36327086733	45222.39655717751	45222.39655717751	39534.1105729781	39534.1105729781	54340.45659736541	54340.45659736541	46507.48406659983	46507.48406659983	44430.45103731557	44430.45103731557
AST-PWY	25.239703462330173	25.239703462330173	63.15657312170459	63.15657312170459	52.99168035899623	52.99168035899623	2.709365101429598	2.709365101429598	524.0731836935535	524.0731836935535	71.07595435618197	71.07595435618197	8.279976495171413	8.279976495171413	11.40227064802637	11.40227064802637	27.937322735857844	27.937322735857844
BIOTIN-BIOSYNTHESIS-PWY	16982.756255601176	16982.756255601176	15843.549424172637	15843.549424172637	20946.747981728524	20946.747981728524	8286.074391380644	8286.074391380644	13530.173619244717	13530.173619244717	10124.317875899658	10124.317875899658	9442.056432137826	9442.056432137826	5897.467484128725	5897.467484128725	8990.63681217702	8990.63681217702
BRANCHED-CHAIN-AA-SYN-PWY	64222.681587747626	64222.681587747626	75813.61694286455	75813.61694286455	64114.04735772642	64114.04735772642	61764.22311530848	61764.22311530848	60031.20491977505	60031.20491977505	39242.64988148346	39242.64988148346	66500.118295571	66500.118295571	80393.09716995497	80393.09716995497	56355.31490438565	56355.31490438565
CALVIN-PWY	67133.12753053567	67133.12753053567	77486.01851403993	77486.01851403993	78407.31933015893	78407.31933015893	74506.0275744624	74506.0275744624	66177.15027293333	66177.15027293333	48960.17593574438	48960.17593574438	86572.55255324018	86572.55255324018	90797.4335732066	90797.4335732066	65079.72853494296	65079.72853494296
CATECHOL-ORTHO-CLEAVAGE-PWY	25.336343535966684	25.336343535966684	85.8489451094742	85.8489451094742	8.174452082834582	8.174452082834582	50.76091807061686	50.76091807061686	158.3537923164629	158.3537923164629	5.412213646255099	5.412213646255099	24.896560826410113	24.896560826410113	14.978319557195476	14.978319557195476	43.26448802693706	43.26448802693706
CENTBENZCOA-PWY	1.0324440531114987	1.0324440531114987	277.16156143286463	277.16156143286463	68.13825421679381	68.13825421679381	0.07882154753903985	0.07882154753903985	156.58433329395737	156.58433329395737	142.15956409191676	142.15956409191676	2.4161401043187327	2.4161401043187327	173.63318901173363	173.63318901173363	9.82267823691194	9.82267823691194
CENTFERM-PWY	13087.639337081742	13087.639337081742	10133.676716647124	10133.676716647124	1975.7362553320324	1975.7362553320324	2830.459043894351	2830.459043894351	13348.184344682737	13348.184344682737	3064.4587830821483	3064.4587830821483	3759.0021449920073	3759.0021449920073	3718.895179890724	3718.895179890724	5012.216468722673	5012.216468722673
CHLOROPHYLL-SYN	308.5959775337535	308.5959775337535	729.874431992968	729.874431992968	238.14686316028627	238.14686316028627	115.17097810925199	115.17097810925199	999.1009937127642	999.1009937127642	235.2113456471876	235.2113456471876	430.58836831490396	430.58836831490396	779.1494151658311	779.1494151658311	459.793117906399	459.793117906399
COA-PWY	59417.91381071304	59417.91381071304	59661.88741695869	59661.88741695869	60571.01461748936	60571.01461748936	57768.95278571303	57768.95278571303	49688.14199903434	49688.14199903434	39486.776426864075	39486.776426864075	69104.04536313852	69104.04536313852	67150.72145751296	67150.72145751296	51753.51857660949	51753.51857660949
COBALSYN-PWY	54735.52395396096	54735.52395396096	54359.64305639134	54359.64305639134	72442.61119303829	72442.61119303829	43402.4802144724	43402.4802144724	38433.86592405086	38433.86592405086	30380.479107190597	30380.479107190597	82300.54482628536	82300.54482628536	75680.56417300733	75680.56417300733	54188.98145512625	54188.98145512625
CODH-PWY	527.8191106937805	527.8191106937805	4075.932976468063	4075.932976468063	820.1007221523538	820.1007221523538	747.3222487819838	747.3222487819838	5056.4062436761205	5056.4062436761205	2458.6191180829587	2458.6191180829587	378.2250733074762	378.2250733074762	782.1230143467637	782.1230143467637	1283.0508398443867	1283.0508398443867
COLANSYN-PWY	24359.086915015247	24359.086915015247	30671.11948652905	30671.11948652905	23992.40695544795	23992.40695544795	18153.072264085873	18153.072264085873	23770.552913780146	23770.552913780146	19011.140785082902	19011.140785082902	16565.438588244124	16565.438588244124	18632.89144546437	18632.89144546437	17720.967784810655	17720.967784810655
