id	study_id	disease_group	group	shannon_entropy
#q2:types	categorical	categorical	categorical	numeric
ERR1331785	cfs_giloteaux2016	SFC	Dor Crônica	2.83378894344121
ERR1331792	cfs_giloteaux2016	SFC	Dor Crônica	2.9020021771695
ERR1331808	cfs_giloteaux2016	SFC	Dor Crônica	2.85786982207164
ERR1331819	cfs_giloteaux2016	SFC	Dor Crônica	4.53322265309389
ERR1331820	cfs_giloteaux2016	SFC	Dor Crônica	3.45700337855071
ERR1331821	cfs_giloteaux2016	SFC	Dor Crônica	4.49408474919373
ERR1331822	cfs_giloteaux2016	SFC	Dor Crônica	4.81684526047666
ERR1331823	cfs_giloteaux2016	SFC	Dor Crônica	2.40079790566592
ERR1331824	cfs_giloteaux2016	SFC	Dor Crônica	2.90730537895119
ERR1331825	cfs_giloteaux2016	SFC	Dor Crônica	3.99296458637462
ERR1331826	cfs_giloteaux2016	SFC	Dor Crônica	3.90927751112968
ERR1331827	cfs_giloteaux2016	SFC	Dor Crônica	2.46401868950379
ERR1331828	cfs_giloteaux2016	SFC	Dor Crônica	2.93063959889934
ERR1331831	cfs_giloteaux2016	SFC	Dor Crônica	3.96771887165185
ERR1331834	cfs_giloteaux2016	SFC	Dor Crônica	4.8105524407391
ERR1331835	cfs_giloteaux2016	SFC	Dor Crônica	4.70000788209757
ERR1331836	cfs_giloteaux2016	SFC	Dor Crônica	3.98484470181571
ERR1331837	cfs_giloteaux2016	SFC	Dor Crônica	4.41597067410218
ERR1331840	cfs_giloteaux2016	SFC	Dor Crônica	4.37504546272515
ERR1331841	cfs_giloteaux2016	SFC	Dor Crônica	4.62929009656377
ERR1331850	cfs_giloteaux2016	SFC	Dor Crônica	3.5419853145584
ERR1331854	cfs_giloteaux2016	SFC	Dor Crônica	2.99071849528164
ERR1331855	cfs_giloteaux2016	SFC	Dor Crônica	4.7583067729398
ERR1331858	cfs_giloteaux2016	SFC	Dor Crônica	3.51647128455545
ERR1331860	cfs_giloteaux2016	SFC	Dor Crônica	4.07454472994256
ERR1331862	cfs_giloteaux2016	SFC	Dor Crônica	4.07133316258273
ERR1331863	cfs_giloteaux2016	SFC	Dor Crônica	4.29975750724033
ERR1331864	cfs_giloteaux2016	SFC	Dor Crônica	2.40661775776582
ERR1331865	cfs_giloteaux2016	SFC	Dor Crônica	2.77528268562659
ERR1331867	cfs_giloteaux2016	SFC	Dor Crônica	2.89975792409208
ERR1331872	cfs_giloteaux2016	SFC	Dor Crônica	4.66321105489538
ERR1331786	cfs_giloteaux2016	SFC	Controle	2.03227877841314
ERR1331787	cfs_giloteaux2016	SFC	Controle	2.77254211963835
ERR1331788	cfs_giloteaux2016	SFC	Controle	2.01164663532909
ERR1331789	cfs_giloteaux2016	SFC	Controle	2.40020432394302
ERR1331790	cfs_giloteaux2016	SFC	Controle	2.03844601371147
ERR1331791	cfs_giloteaux2016	SFC	Controle	2.46716674567082
ERR1331793	cfs_giloteaux2016	SFC	Controle	3.05653730610157
ERR1331794	cfs_giloteaux2016	SFC	Controle	2.47544173804468
ERR1331796	cfs_giloteaux2016	SFC	Controle	4.67492824614892
ERR1331797	cfs_giloteaux2016	SFC	Controle	2.92443038325365
ERR1331798	cfs_giloteaux2016	SFC	Controle	2.84138594538406
ERR1331799	cfs_giloteaux2016	SFC	Controle	4.31287224957278
ERR1331802	cfs_giloteaux2016	SFC	Controle	3.70385580415028
ERR1331803	cfs_giloteaux2016	SFC	Controle	3.49331534971429
ERR1331804	cfs_giloteaux2016	SFC	Controle	2.22440943235395
ERR1331805	cfs_giloteaux2016	SFC	Controle	2.35936741506927
ERR1331806	cfs_giloteaux2016	SFC	Controle	4.30448227341857
ERR1331807	cfs_giloteaux2016	SFC	Controle	2.5699081748566
ERR1331809	cfs_giloteaux2016	SFC	Controle	3.05619987901753
ERR1331810	cfs_giloteaux2016	SFC	Controle	3.93892575942726
ERR1331813	cfs_giloteaux2016	SFC	Controle	1.60717775768586
ERR1331832	cfs_giloteaux2016	SFC	Controle	2.49768391370053
ERR1331838	cfs_giloteaux2016	SFC	Controle	3.61742692678571
ERR1331839	cfs_giloteaux2016	SFC	Controle	2.37253089177432
ERR1331844	cfs_giloteaux2016	SFC	Controle	3.72450525122892
ERR1331845	cfs_giloteaux2016	SFC	Controle	4.54021013367591
ERR1331846	cfs_giloteaux2016	SFC	Controle	3.9352882821496
ERR1331847	cfs_giloteaux2016	SFC	Controle	3.21667925700626
ERR1331848	cfs_giloteaux2016	SFC	Controle	3.90721973917572
ERR1331849	cfs_giloteaux2016	SFC	Controle	2.73551478384231
ERR1331851	cfs_giloteaux2016	SFC	Controle	3.62136824280619
ERR1331859	cfs_giloteaux2016	SFC	Controle	3.31660281151778
ERR1331866	cfs_giloteaux2016	SFC	Controle	3.31710566659599
ERR1331868	cfs_giloteaux2016	SFC	Controle	1.83577839887831
ERR1331869	cfs_giloteaux2016	SFC	Controle	2.3907362327644
ERR1331870	cfs_giloteaux2016	SFC	Controle	4.13391381190263
ERR1331871	cfs_giloteaux2016	SFC	Controle	3.99190202403536
ERR2585973	endo_ata2019	Endometriose	Controle	4.24106514685883
ERR2585974	endo_ata2019	Endometriose	Controle	5.07978293180076
ERR2585976	endo_ata2019	Endometriose	Controle	4.47418694142567
ERR2585977	endo_ata2019	Endometriose	Controle	4.47324539589522
ERR2585978	endo_ata2019	Endometriose	Controle	4.77326553019157
ERR2585979	endo_ata2019	Endometriose	Controle	3.8448292861545
ERR2585980	endo_ata2019	Endometriose	Controle	4.1233365380941
ERR2585981	endo_ata2019	Endometriose	Controle	4.08304550169632
ERR2585982	endo_ata2019	Endometriose	Controle	5.05058490507131
ERR2585983	endo_ata2019	Endometriose	Controle	4.19046324927259
ERR2585984	endo_ata2019	Endometriose	Controle	3.81934997295626
ERR2585985	endo_ata2019	Endometriose	Controle	4.74855934179193
ERR2585989	endo_ata2019	Endometriose	Controle	4.52737201961302
ERR2585962	endo_ata2019	Endometriose	Endometriose	4.62465769200688
ERR2585963	endo_ata2019	Endometriose	Endometriose	4.79544013653449
ERR2585964	endo_ata2019	Endometriose	Endometriose	4.54127398543826
ERR2585965	endo_ata2019	Endometriose	Endometriose	4.58125663337439
ERR2585966	endo_ata2019	Endometriose	Endometriose	1.35551336314671
ERR2585967	endo_ata2019	Endometriose	Endometriose	4.96041714127481
ERR2585968	endo_ata2019	Endometriose	Endometriose	5.33379700962888
ERR2585969	endo_ata2019	Endometriose	Endometriose	4.97461423164535
ERR2585970	endo_ata2019	Endometriose	Endometriose	4.74781821660212
ERR2585971	endo_ata2019	Endometriose	Endometriose	3.95516302297462
ERR2585972	endo_ata2019	Endometriose	Endometriose	4.25499782745603
ERR2585986	endo_ata2019	Endometriose	Endometriose	4.27489731422729
ERR2585987	endo_ata2019	Endometriose	Endometriose	3.58587911600264
ERR2585988	endo_ata2019	Endometriose	Endometriose	4.72726827422438
SRR13994159	endo_wei2023	Endometriose	Controle	4.3000086471212
SRR13994160	endo_wei2023	Endometriose	Controle	3.9842559959874
