	SRR27830980	SRR27830981	SRR27830992	SRR27830993	SRR27830998	SRR27830999	SRR27831000	SRR27831001	SRR27831004	SRR27831005	SRR27831006	SRR27831007	SRR27831008	SRR27831009	SRR27831011	SRR27831012	SRR27831014	SRR27831015	SRR27831016	SRR27831017	SRR27831018	SRR27831019	SRR27831021	SRR27831022	SRR27831023	SRR27831024	SRR27831025	SRR27831026	SRR27831062	SRR27831063	SRR27831065	SRR27831066	SRR27831067	SRR27831068	SRR27831070	SRR27831071	SRR27831072	SRR27831073	SRR27831074	SRR27831075	SRR27831077	SRR27831078	SRR27831079	SRR27831080	SRR27831081	SRR27831082	SRR27831083	SRR27831084	SRR27831085	SRR27831088	SRR27831092	SRR27831093	SRR27831094	SRR27831095	SRR27831096	SRR27831097	SRR27831099	SRR27831100	SRR27831101	SRR27831102	SRR27831107	SRR27831108	SRR27831109
SRR27830980	0.0	0.0341	0.0089	0.9965	0.0253	0.9968	0.8329	0.9977	0.9987	0.9983	0.9984	0.9991	0.9926	0.9458	0.6307	0.9984	0.9981	0.9971	0.045	0.9788	0.9833	0.9995	0.9994	0.8821	0.0807	0.0277	0.9512	0.9985	0.9988	0.9981	0.0573	0.9936	0.9892	0.2056	0.7327	0.996	0.7539	0.9819	0.9994	0.9983	0.9996	0.9973	0.9974	0.7294	0.1067	0.9975	0.9979	0.2388	0.9974	0.5873	0.9981	0.4363	0.9985	0.9972	0.3847	0.6588	0.0608	0.0073	0.9996	0.203	0.7124	0.9949	0.0045
SRR27830981	0.0341	0.0	0.0338	0.9952	0.0333	0.9957	0.832	0.9967	0.9977	0.998	0.9976	0.9983	0.9906	0.9439	0.6288	0.9965	0.9968	0.995	0.0446	0.977	0.982	0.9989	0.9991	0.8803	0.0801	0.0343	0.9499	0.997	0.9978	0.9971	0.0569	0.9926	0.9889	0.2045	0.7307	0.9951	0.7529	0.9791	0.9991	0.9962	0.9986	0.9953	0.995	0.7291	0.1063	0.9965	0.9968	0.2384	0.9971	0.5858	0.997	0.4358	0.9975	0.9956	0.3844	0.6578	0.0315	0.0334	0.9986	0.2027	0.7114	0.9932	0.034
SRR27830992	0.0089	0.0338	0.0	0.9953	0.0216	0.9963	0.8323	0.9965	0.9986	0.9979	0.9982	0.9976	0.9858	0.9445	0.6238	0.9914	0.9969	0.9956	0.0402	0.9782	0.9812	0.9993	0.9975	0.8775	0.0802	0.0274	0.9502	0.9921	0.9982	0.9977	0.0567	0.9935	0.9886	0.2047	0.7275	0.9951	0.7526	0.9807	0.9968	0.996	0.994	0.9942	0.9904	0.7232	0.1064	0.9974	0.9966	0.2385	0.997	0.5865	0.9973	0.4307	0.9984	0.9965	0.3831	0.6583	0.0585	0.0076	0.9995	0.2028	0.7114	0.9888	0.0067
SRR27830993	0.9965	0.9952	0.9953	0.0	0.9922	0.9873	0.8424	0.2965	0.6084	0.9967	0.9962	0.996	0.9617	0.6261	0.9728	0.9627	0.9954	0.9662	0.9953	0.9777	0.9939	0.9982	0.9988	0.9951	0.9948	0.9959	0.9923	0.9902	0.7851	0.5588	0.9946	0.9941	0.9963	0.9342	0.5713	0.7555	0.445	0.9371	0.9983	0.9839	0.9788	0.4455	0.5285	0.8538	0.996	0.812	0.9962	0.9947	0.995	0.7721	0.3002	0.9761	0.9641	0.6645	0.9951	0.6956	0.9901	0.9944	0.7883	0.9957	0.5955	0.5061	0.9958
SRR27830998	0.0253	0.0333	0.0216	0.9922	0.0	0.9929	0.8291	0.9932	0.9955	0.9947	0.9969	0.9965	0.9855	0.9373	0.62	0.982	0.9928	0.9808	0.0412	0.9648	0.9778	0.9986	0.9961	0.8753	0.0796	0.0273	0.9449	0.9937	0.9977	0.9977	0.0558	0.9922	0.9872	0.2001	0.7272	0.9859	0.7464	0.9667	0.9954	0.9883	0.9949	0.9816	0.9862	0.7261	0.1066	0.9961	0.9938	0.2372	0.9954	0.5736	0.9916	0.4321	0.9941	0.9966	0.3815	0.653	0.0571	0.0244	0.9982	0.2016	0.7112	0.9896	0.0235
SRR27830999	0.9968	0.9957	0.9963	0.9873	0.9929	0.0	0.3726	0.9873	0.9892	0.9735	0.1682	0.0488	0.9799	0.9871	0.5904	0.1745	0.0477	0.2684	0.9939	0.9885	0.0675	0.9984	0.0498	0.4411	0.996	0.9932	0.3435	0.1241	0.9944	0.9886	0.9949	0.2839	0.0474	0.9208	0.9892	0.9867	0.9858	0.9741	0.0493	0.1386	0.9893	0.9892	0.9867	0.9924	0.9925	0.9842	0.0478	0.7893	0.056	0.99	0.9875	0.9895	0.9899	0.993	0.6163	0.9673	0.9881	0.9961	0.6565	0.9198	0.9872	0.9879	0.9966
SRR27831000	0.8329	0.832	0.8323	0.8424	0.8291	0.3726	0.0	0.8287	0.8721	0.9597	0.3878	0.3873	0.9533	0.7875	0.4096	0.3732	0.3681	0.3807	0.8163	0.9665	0.3527	0.9985	0.3888	0.3114	0.8312	0.8285	0.3406	0.3657	0.9284	0.8439	0.83	0.3815	0.3787	0.7101	0.7196	0.8704	0.6752	0.9512	0.3883	0.3744	0.9721	0.8807	0.8598	0.7994	0.8166	0.9196	0.3873	0.6063	0.3643	0.7524	0.8372	0.8131	0.9652	0.9254	0.4522	0.6778	0.8194	0.831	0.5919	0.7382	0.6746	0.8856	0.8325
SRR27831001	0.9977	0.9967	0.9965	0.2965	0.9932	0.9873	0.8287	0.0	0.5264	0.9971	0.997	0.9967	0.9656	0.578	0.9752	0.9749	0.995	0.9699	0.997	0.9851	0.9952	0.9984	0.9979	0.9962	0.9968	0.9976	0.9966	0.9874	0.6424	0.3943	0.9962	0.9946	0.9967	0.9344	0.5411	0.7381	0.3759	0.9587	0.9974	0.9802	0.9786	0.5194	0.5152	0.9284	0.9973	0.9179	0.9962	0.9965	0.9961	0.7316	0.3803	0.9959	0.9184	0.6242	0.9952	0.6811	0.9932	0.996	0.6497	0.9964	0.5516	0.3883	0.9964
SRR27831004	0.9987	0.9977	0.9986	0.6084	0.9955	0.9892	0.8721	0.5264	0.0	0.9985	0.9981	0.9983	0.9659	0.5871	0.978	0.9796	0.9974	0.9791	0.9985	0.992	0.997	0.9988	0.9991	0.9988	0.9981	0.9988	0.9976	0.995	0.7429	0.5168	0.9981	0.9954	0.9984	0.8838	0.7198	0.644	0.4942	0.9612	0.9986	0.978	0.9794	0.7952	0.6504	0.9844	0.9982	0.922	0.998	0.9984	0.998	0.7825	0.6177	0.9983	0.8883	0.7266	0.9969	0.3887	0.9953	0.9976	0.7457	0.9983	0.5455	0.7354	0.9986
SRR27831005	0.9983	0.998	0.9979	0.9967	0.9947	0.9735	0.9597	0.9971	0.9985	0.0	0.9792	0.9785	0.2516	0.9978	0.975	0.9793	0.9389	0.9787	0.9582	0.2529	0.933	1.0	0.9798	0.915	0.9186	0.9944	0.9787	0.9432	0.7121	0.9975	0.993	0.9784	0.9787	0.9646	0.9978	0.9975	0.9969	0.9848	0.9798	0.8898	0.2543	0.9977	0.9979	0.9975	0.9139	0.5974	0.9787	0.9632	0.9646	0.9965	0.9974	0.97	0.9973	0.9978	0.9787	0.9554	0.9875	0.993	0.9792	0.9787	0.9979	0.9284	0.9979
