	SRR9198470	SRR9198472	SRR9198474	SRR9198475	SRR9198476	SRR9198477	SRR9198480	SRR9198483	SRR9198500	SRR9198501	SRR9198502	SRR9198504	SRR9198505	SRR9198506	SRR9198507	SRR27830980	SRR27830981	SRR27830992	SRR27830993	SRR27830998	SRR27830999	SRR27831000	SRR27831001	SRR27831004	SRR27831005	SRR27831006	SRR27831007	SRR27831008	SRR27831009	SRR27831011	SRR27831012	SRR27831014	SRR27831015	SRR27831016	SRR27831017	SRR27831018	SRR27831019	SRR27831021	SRR27831022	SRR27831023	SRR27831024	SRR27831025	SRR27831026	SRR27831062	SRR27831063	SRR27831065	SRR27831066	SRR27831067	SRR27831068	SRR27831070	SRR27831071	SRR27831072	SRR27831073	SRR27831074	SRR27831075	SRR27831077	SRR27831078	SRR27831079	SRR27831080	SRR27831081	SRR27831082	SRR27831083	SRR27831084	SRR27831085	SRR27831088	SRR27831092	SRR27831093	SRR27831094	SRR27831095	SRR27831096	SRR27831097	SRR27831099	SRR27831100	SRR27831101	SRR27831102	SRR27831107	SRR27831108	SRR27831109
SRR9198470	0.0	0.056	0.4866	0.7941	0.6779	0.0129	0.9879	0.0127	0.0119	0.0127	0.0348	0.037	0.0175	0.7471	0.0112	0.0126	0.0117	0.0118	0.9851	0.021	0.0417	0.1666	0.9841	0.9871	0.8516	0.0121	0.0116	0.9732	0.9338	0.0527	0.0711	0.0112	0.2682	0.0127	0.9695	0.0157	0.9982	0.0129	0.0398	0.0729	0.0229	0.0158	0.0955	0.9865	0.9871	0.012	0.0117	0.0128	0.1399	0.7211	0.9828	0.7333	0.9606	0.0129	0.1468	0.9828	0.9847	0.9857	0.5805	0.0119	0.9768	0.0113	0.0231	0.0408	0.5709	0.9862	0.4046	0.987	0.9865	0.0117	0.6291	0.0238	0.012	0.5711	0.0122	0.6944	0.9838	0.0128
SRR9198472	0.056	0.0	0.4452	0.7474	0.6883	0.056	0.9996	0.056	0.0548	0.056	0.056	0.0518	0.0555	0.758	0.0557	0.056	0.056	0.0559	0.9832	0.056	0.055	0.1784	0.9958	0.9985	0.8516	0.056	0.056	0.9818	0.937	0.0625	0.0823	0.0556	0.2694	0.056	0.9727	0.056	1.0	0.056	0.0559	0.0736	0.038	0.056	0.081	0.9976	0.998	0.0558	0.056	0.056	0.1517	0.7322	0.9952	0.7448	0.9132	0.056	0.152	0.9932	0.9934	0.9857	0.574	0.056	0.9872	0.056	0.056	0.056	0.5772	0.9979	0.406	0.998	0.9982	0.056	0.6385	0.0547	0.056	0.5816	0.056	0.7056	0.9951	0.056
SRR9198474	0.4866	0.4452	0.0	0.7004	0.5292	0.4989	0.6889	0.4987	0.4953	0.4984	0.4986	0.4848	0.4978	0.6353	0.492	0.4986	0.4977	0.4977	0.8151	0.4925	0.4919	0.4153	0.7863	0.83	0.8513	0.4981	0.4971	0.9542	0.7611	0.4733	0.4702	0.496	0.4788	0.4988	0.9603	0.4961	0.9956	0.4989	0.4962	0.4982	0.4805	0.4951	0.4733	0.8327	0.8356	0.4979	0.4976	0.4989	0.4592	0.5655	0.9002	0.5654	0.8916	0.4989	0.4842	0.9724	0.7183	0.7373	0.3094	0.498	0.8285	0.4965	0.4982	0.498	0.3749	0.8164	0.4977	0.9709	0.8382	0.4971	0.4703	0.4937	0.498	0.4215	0.498	0.5372	0.8342	0.4988
SRR9198475	0.7941	0.7474	0.7004	0.0	0.7948	0.8003	0.9551	0.8009	0.7958	0.7995	0.8011	0.7867	0.7975	0.771	0.7842	0.8008	0.799	0.7933	0.9625	0.7906	0.7962	0.7939	0.9818	0.9907	0.8516	0.7995	0.7993	0.9645	0.8977	0.7772	0.7623	0.7971	0.7794	0.7968	0.9628	0.7967	0.9961	0.7993	0.7921	0.8002	0.78	0.7955	0.7616	0.9918	0.9919	0.7997	0.8002	0.801	0.7909	0.7818	0.9587	0.7824	0.8415	0.7992	0.7867	0.9815	0.9213	0.9233	0.7581	0.7994	0.9817	0.7999	0.8004	0.8003	0.7786	0.9789	0.7885	0.987	0.9918	0.7987	0.791	0.7943	0.7995	0.7955	0.8003	0.7908	0.9806	0.7982
SRR9198476	0.6779	0.6883	0.5292	0.7948	0.0	0.6878	0.3437	0.6881	0.6869	0.6878	0.6879	0.6883	0.6877	0.6386	0.681	0.688	0.6876	0.6871	0.6692	0.6859	0.6848	0.6177	0.63	0.7144	0.8512	0.6876	0.6883	0.9598	0.7994	0.6716	0.6733	0.688	0.6875	0.6875	0.9715	0.6866	0.9988	0.6875	0.6875	0.6878	0.6883	0.6852	0.6867	0.3138	0.3354	0.6879	0.6874	0.6882	0.6552	0.1057	0.9232	0.4852	0.962	0.6875	0.6831	0.9716	0.8124	0.7211	0.3548	0.6876	0.4004	0.6883	0.6875	0.6876	0.4927	0.7599	0.6865	0.9832	0.3142	0.6863	0.4711	0.6862	0.6867	0.1274	0.688	0.4542	0.3592	0.6874
SRR9198477	0.0129	0.056	0.4989	0.8003	0.6878	0.0	0.9993	0.002	0.0093	0.01	0.0348	0.0376	0.0179	0.7563	0.0174	0.002	0.0063	0.0078	0.997	0.0233	0.0455	0.1782	0.9957	0.9985	0.8516	0.0029	0.0046	0.9843	0.9454	0.064	0.083	0.0112	0.2702	0.0082	0.9727	0.017	1.0	0.0017	0.0408	0.0734	0.0231	0.0187	0.097	0.9977	0.998	0.0057	0.0037	0.002	0.1513	0.7327	0.9952	0.7443	0.9669	0.0016	0.1515	0.9927	0.9966	0.9976	0.5916	0.0031	0.9872	0.0033	0.0236	0.0415	0.5833	0.9979	0.4052	0.998	0.9982	0.0042	0.6406	0.0252	0.0073	0.5816	0.002	0.7056	0.9946	0.003
SRR9198480	0.9879	0.9996	0.6889	0.9551	0.3437	0.9993	0.0	0.9994	0.9992	0.9983	0.9996	0.9954	0.9977	0.8798	0.993	0.9991	0.9987	0.9987	0.5811	0.9942	0.9938	0.8839	0.5136	0.6153	0.9996	0.9982	0.9985	0.9717	0.7157	0.9784	0.9716	0.998	0.9585	0.9994	0.9741	0.9983	0.9969	0.9996	0.9979	0.9988	0.9983	0.9958	0.9837	0.3403	0.2594	0.9986	0.9979	0.9993	0.9422	0.367	0.7941	0.6183	0.9488	0.9996	0.9821	0.9775	0.7026	0.6428	0.6529	0.9989	0.4128	0.9982	0.9989	0.9989	0.7721	0.6581	0.9964	0.9533	0.3439	0.9969	0.6872	0.9968	0.9983	0.4383	0.999	0.6385	0.3629	0.9992
SRR9198483	0.0127	0.056	0.4987	0.8009	0.6881	0.002	0.9994	0.0	0.0097	0.0102	0.0348	0.0379	0.0181	0.7578	0.0177	0.0003	0.0061	0.0081	0.9968	0.0236	0.0453	0.1782	0.9956	0.9983	0.8516	0.0029	0.0046	0.9846	0.9457	0.0643	0.0833	0.011	0.2702	0.0087	0.9725	0.0173	0.9998	0.0031	0.0413	0.0734	0.0234	0.0187	0.0973	0.9975	0.9978	0.0055	0.0035	0.0008	0.1515	0.733	0.995	0.7446	0.9667	0.0021	0.1518	0.993	0.9969	0.9979	0.5919	0.0029	0.987	0.0033	0.0234	0.0413	0.5831	0.9977	0.4058	0.9978	0.998	0.0045	0.6406	0.0255	0.0076	0.5814	0.0007	0.7054	0.9949	0.0034
SRR9198500	0.0119	0.0548	0.4953	0.7958	0.6869	0.0093	0.9992	0.0097	0.0	0.0073	0.0326	0.0355	0.0162	0.756	0.0159	0.0097	0.0085	0.0076	0.9939	0.0183	0.0424	0.1762	0.9946	0.9971	0.8488	0.0095	0.0076	0.9791	0.9407	0.0574	0.0783	0.0079	0.2667	0.0077	0.9693	0.0126	0.9993	0.0085	0.037	0.0725	0.0215	0.0163	0.0931	0.9967	0.9978	0.0085	0.0097	0.0098	0.1492	0.7283	0.9935	0.7434	0.9631	0.0085	0.1457	0.991	0.9917	0.9927	0.5884	0.0085	0.9864	0.009	0.021	0.0404	0.5794	0.9971	0.4043	0.9964	0.9976	0.0088	0.6376	0.0213	0.0084	0.5807	0.0093	0.7049	0.9903	0.0084
SRR9198501	0.0127	0.056	0.4984	0.7995	0.6878	0.01	0.9983	0.0102	0.0073	0.0	0.0327	0.0373	0.0151	0.7563	0.0178	0.0102	0.0101	0.01	0.9946	0.0222	0.0439	0.1765	0.9945	0.9984	0.8443	0.0093	0.0088	0.9794	0.9451	0.0606	0.0833	0.0105	0.27	0.0059	0.9673	0.0117	0.9999	0.0103	0.0358	0.068	0.0223	0.0187	0.0954	0.9924	0.9979	0.0064	0.0102	0.0103	0.1458	0.7329	0.9944	0.7445	0.9662	0.0103	0.1439	0.9876	0.9967	0.9971	0.592	0.0094	0.9819	0.0102	0.0174	0.0389	0.5829	0.9976	0.4048	0.9972	0.998	0.0098	0.6355	0.0239	0.005	0.5763	0.0102	0.7052	0.9876	0.0096
